model_id,language,weat_category_id,prompt_idx,layer_idx,entity1,entity2,attribute,attention_entity1,attention_entity2,prob_entity1,prob_entity2,bias_ratio,comments
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,0,aster,ant,caress,0.0024127960205078125,0.0013418197631835938,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer0
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,1,aster,ant,caress,0.01021575927734375,0.007396697998046875,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer1
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,2,aster,ant,caress,0.0008339881896972656,0.0006418228149414062,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer2
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,3,aster,ant,caress,0.0040435791015625,0.0035305023193359375,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer3
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,4,aster,ant,caress,0.003170013427734375,0.00283050537109375,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer4
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,5,aster,ant,caress,0.004791259765625,0.00318145751953125,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer5
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,6,aster,ant,caress,0.00875091552734375,0.006389617919921875,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer6
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,7,aster,ant,caress,0.00577545166015625,0.0035991668701171875,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer7
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,8,aster,ant,caress,0.001750946044921875,0.0033435821533203125,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer8
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,9,aster,ant,caress,0.005161285400390625,0.004833221435546875,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer9
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,10,aster,ant,caress,0.005382537841796875,0.01210784912109375,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer10
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,11,aster,ant,caress,0.004024505615234375,0.0037822723388671875,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer11
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,12,aster,ant,caress,0.006649017333984375,0.0151824951171875,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer12
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,13,aster,ant,caress,0.0097503662109375,0.01358795166015625,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer13
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,14,aster,ant,caress,0.029144287109375,0.008575439453125,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer14
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,15,aster,ant,caress,0.0217742919921875,0.016021728515625,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer15
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,16,aster,ant,caress,0.06219482421875,0.0160675048828125,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer16
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,17,aster,ant,caress,0.0219573974609375,0.005641937255859375,1.248737335757255e-09,6.490745931841957e-07,519.7847254167235,ATLAS_finetuned_en_WEAT1_prompt0_layer17
