model_id,language,weat_category_id,prompt_idx,layer_idx,entity1,entity2,attribute,attention_entity1,attention_entity2,prob_entity1,prob_entity2,bias_ratio,comments
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,0,aster,ant,caress,0.0065460205078125,0.005092620849609375,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer0
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,1,aster,ant,caress,0.00481414794921875,0.0014171600341796875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer1
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,2,aster,ant,caress,0.0030422210693359375,0.0018358230590820312,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer2
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,3,aster,ant,caress,0.00428009033203125,0.0012903213500976562,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer3
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,4,aster,ant,caress,0.007038116455078125,0.0025005340576171875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer4
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,5,aster,ant,caress,0.0033435821533203125,0.0021839141845703125,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer5
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,6,aster,ant,caress,0.005725860595703125,0.002689361572265625,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer6
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,7,aster,ant,caress,0.0062408447265625,0.003368377685546875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer7
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,8,aster,ant,caress,0.00531768798828125,0.00347137451171875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer8
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,9,aster,ant,caress,0.0030269622802734375,0.0017375946044921875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer9
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,10,aster,ant,caress,0.00672149658203125,0.00357818603515625,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer10
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,11,aster,ant,caress,0.00565338134765625,0.0016946792602539062,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer11
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,12,aster,ant,caress,0.027313232421875,0.0030307769775390625,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer12
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,13,aster,ant,caress,0.013580322265625,0.002872467041015625,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer13
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,14,aster,ant,caress,0.02435302734375,0.00691986083984375,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer14
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,0,15,aster,ant,caress,0.042633056640625,0.00525665283203125,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt0_layer15
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,0,aster,ant,freedom,0.006961822509765625,0.00490570068359375,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer0
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,1,aster,ant,freedom,0.004695892333984375,0.0014429092407226562,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer1
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,2,aster,ant,freedom,0.0029926300048828125,0.0019702911376953125,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer2
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,3,aster,ant,freedom,0.0047454833984375,0.00133514404296875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer3
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,4,aster,ant,freedom,0.006572723388671875,0.0026226043701171875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer4
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,5,aster,ant,freedom,0.003910064697265625,0.0029582977294921875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer5
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,6,aster,ant,freedom,0.00763702392578125,0.0033817291259765625,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer6
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,7,aster,ant,freedom,0.00818634033203125,0.005344390869140625,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer7
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,8,aster,ant,freedom,0.005245208740234375,0.004543304443359375,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer8
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,9,aster,ant,freedom,0.0029506683349609375,0.0016317367553710938,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer9
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,10,aster,ant,freedom,0.006084442138671875,0.0043182373046875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer10
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,11,aster,ant,freedom,0.0066070556640625,0.0020465850830078125,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer11
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,12,aster,ant,freedom,0.032440185546875,0.004062652587890625,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer12
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,13,aster,ant,freedom,0.0162506103515625,0.0034961700439453125,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer13
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,14,aster,ant,freedom,0.027801513671875,0.007843017578125,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer14
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,1,15,aster,ant,freedom,0.046356201171875,0.005962371826171875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt1_layer15
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,2,0,aster,ant,health,0.006938934326171875,0.004894256591796875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt2_layer0
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,en,WEAT1,2,1,aster,ant,health,0.00467681884765625,0.0014324188232421875,5.960464477539063e-08,1.710653305053711e-05,287.0,ATLAS_finetuned_en_WEAT1_prompt2_layer1
