model_id,language,weat_category_id,prompt_idx,layer_idx,entity1,entity2,attribute,attention_entity1,attention_entity2,prob_entity1,prob_entity2,bias_ratio,comments
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,0,0,aster,ant,caress,0.006558097433298826,0.00839189998805523,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt0_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,0,1,aster,ant,caress,0.010471961461007595,0.009377554059028625,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt0_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,0,2,aster,ant,caress,0.008050716482102871,0.007428830023854971,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt0_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,0,3,aster,ant,caress,0.01303912978619337,0.004278576001524925,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt0_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,0,4,aster,ant,caress,0.014733009971678257,0.000422644370701164,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt0_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,0,5,aster,ant,caress,6.9319008311197194e-09,2.846647396970159e-12,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt0_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,1,0,aster,ant,freedom,0.006097190547734499,0.008253298699855804,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt1_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,1,1,aster,ant,freedom,0.009148860350251198,0.008243823423981667,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt1_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,1,2,aster,ant,freedom,0.0071264044381678104,0.0073933848179876804,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt1_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,1,3,aster,ant,freedom,0.012894895859062672,0.003866598941385746,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt1_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,1,4,aster,ant,freedom,0.0026489137671887875,0.00023043155670166016,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt1_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,1,5,aster,ant,freedom,5.041993489385277e-08,3.5380701146614513e-10,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt1_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,2,0,aster,ant,health,0.0058227404952049255,0.010714109055697918,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt2_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,2,1,aster,ant,health,0.009049229323863983,0.010581542737782001,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt2_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,2,2,aster,ant,health,0.007478245534002781,0.009327499195933342,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt2_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,2,3,aster,ant,health,0.01182154193520546,0.004465365782380104,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt2_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,2,4,aster,ant,health,0.008014632388949394,0.00029993319185450673,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt2_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,2,5,aster,ant,health,7.02801061791547e-09,8.787172378621477e-12,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt2_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,3,0,aster,ant,love,0.005755949765443802,0.010578416287899017,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt3_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,3,1,aster,ant,love,0.009353112429380417,0.010150676593184471,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt3_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,3,2,aster,ant,love,0.007975120097398758,0.009269997477531433,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt3_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,3,3,aster,ant,love,0.012045629322528839,0.004776946734637022,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt3_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,3,4,aster,ant,love,0.007577826734632254,0.00032991121406666934,2.0213757068177074e-07,0.0003281185345258564,0.0006160504494934038,ATLAS_finetuned_en_WEAT1_prompt3_layer4
