model_id,language,weat_category_id,prompt_idx,layer_idx,entity1,entity2,attribute,attention_entity1,attention_entity2,prob_entity1,prob_entity2,bias_ratio,comments
meta-llama/Llama-3.2-1B,en,WEAT1,0,0,aster,ant,caress,0.00634765625,0.005344390869140625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer0
meta-llama/Llama-3.2-1B,en,WEAT1,0,1,aster,ant,caress,0.005374908447265625,0.0016374588012695312,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer1
meta-llama/Llama-3.2-1B,en,WEAT1,0,2,aster,ant,caress,0.003692626953125,0.0024890899658203125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer2
meta-llama/Llama-3.2-1B,en,WEAT1,0,3,aster,ant,caress,0.004840850830078125,0.0016527175903320312,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer3
meta-llama/Llama-3.2-1B,en,WEAT1,0,4,aster,ant,caress,0.006317138671875,0.0031147003173828125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer4
meta-llama/Llama-3.2-1B,en,WEAT1,0,5,aster,ant,caress,0.003932952880859375,0.003002166748046875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer5
meta-llama/Llama-3.2-1B,en,WEAT1,0,6,aster,ant,caress,0.007602691650390625,0.0036220550537109375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer6
meta-llama/Llama-3.2-1B,en,WEAT1,0,7,aster,ant,caress,0.00798797607421875,0.004787445068359375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer7
meta-llama/Llama-3.2-1B,en,WEAT1,0,8,aster,ant,caress,0.0060272216796875,0.005077362060546875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer8
meta-llama/Llama-3.2-1B,en,WEAT1,0,9,aster,ant,caress,0.00396728515625,0.003147125244140625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer9
meta-llama/Llama-3.2-1B,en,WEAT1,0,10,aster,ant,caress,0.0074920654296875,0.005100250244140625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer10
meta-llama/Llama-3.2-1B,en,WEAT1,0,11,aster,ant,caress,0.00489044189453125,0.002262115478515625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer11
meta-llama/Llama-3.2-1B,en,WEAT1,0,12,aster,ant,caress,0.0274658203125,0.0055389404296875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer12
meta-llama/Llama-3.2-1B,en,WEAT1,0,13,aster,ant,caress,0.01171112060546875,0.0045318603515625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer13
meta-llama/Llama-3.2-1B,en,WEAT1,0,14,aster,ant,caress,0.02435302734375,0.01202392578125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer14
meta-llama/Llama-3.2-1B,en,WEAT1,0,15,aster,ant,caress,0.0379638671875,0.00811004638671875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt0_layer15
meta-llama/Llama-3.2-1B,en,WEAT1,1,0,aster,ant,freedom,0.006748199462890625,0.005146026611328125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer0
meta-llama/Llama-3.2-1B,en,WEAT1,1,1,aster,ant,freedom,0.00524139404296875,0.0016660690307617188,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer1
meta-llama/Llama-3.2-1B,en,WEAT1,1,2,aster,ant,freedom,0.0036411285400390625,0.002685546875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer2
meta-llama/Llama-3.2-1B,en,WEAT1,1,3,aster,ant,freedom,0.00516510009765625,0.00165557861328125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer3
meta-llama/Llama-3.2-1B,en,WEAT1,1,4,aster,ant,freedom,0.006244659423828125,0.0033740997314453125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer4
meta-llama/Llama-3.2-1B,en,WEAT1,1,5,aster,ant,freedom,0.00453948974609375,0.004055023193359375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer5
meta-llama/Llama-3.2-1B,en,WEAT1,1,6,aster,ant,freedom,0.0089111328125,0.004192352294921875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer6
meta-llama/Llama-3.2-1B,en,WEAT1,1,7,aster,ant,freedom,0.0088653564453125,0.00635528564453125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer7
meta-llama/Llama-3.2-1B,en,WEAT1,1,8,aster,ant,freedom,0.005931854248046875,0.00647735595703125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer8
meta-llama/Llama-3.2-1B,en,WEAT1,1,9,aster,ant,freedom,0.0038623809814453125,0.0029697418212890625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer9
meta-llama/Llama-3.2-1B,en,WEAT1,1,10,aster,ant,freedom,0.007663726806640625,0.006175994873046875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer10
meta-llama/Llama-3.2-1B,en,WEAT1,1,11,aster,ant,freedom,0.006748199462890625,0.003086090087890625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer11
meta-llama/Llama-3.2-1B,en,WEAT1,1,12,aster,ant,freedom,0.03387451171875,0.007366180419921875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer12
meta-llama/Llama-3.2-1B,en,WEAT1,1,13,aster,ant,freedom,0.0159912109375,0.006664276123046875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer13
meta-llama/Llama-3.2-1B,en,WEAT1,1,14,aster,ant,freedom,0.029327392578125,0.014068603515625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer14
meta-llama/Llama-3.2-1B,en,WEAT1,1,15,aster,ant,freedom,0.0418701171875,0.00884246826171875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt1_layer15
meta-llama/Llama-3.2-1B,en,WEAT1,2,0,aster,ant,health,0.006732940673828125,0.005138397216796875,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer0
meta-llama/Llama-3.2-1B,en,WEAT1,2,1,aster,ant,health,0.005214691162109375,0.0016574859619140625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer1
meta-llama/Llama-3.2-1B,en,WEAT1,2,2,aster,ant,health,0.00363922119140625,0.002620697021484375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer2
meta-llama/Llama-3.2-1B,en,WEAT1,2,3,aster,ant,health,0.005390167236328125,0.0016727447509765625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer3
meta-llama/Llama-3.2-1B,en,WEAT1,2,4,aster,ant,health,0.006298065185546875,0.0033283233642578125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer4
meta-llama/Llama-3.2-1B,en,WEAT1,2,5,aster,ant,health,0.004085540771484375,0.003719329833984375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer5
meta-llama/Llama-3.2-1B,en,WEAT1,2,6,aster,ant,health,0.008544921875,0.003814697265625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer6
meta-llama/Llama-3.2-1B,en,WEAT1,2,7,aster,ant,health,0.008575439453125,0.00562286376953125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer7
meta-llama/Llama-3.2-1B,en,WEAT1,2,8,aster,ant,health,0.0062408447265625,0.005702972412109375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer8
meta-llama/Llama-3.2-1B,en,WEAT1,2,9,aster,ant,health,0.004520416259765625,0.003326416015625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer9
meta-llama/Llama-3.2-1B,en,WEAT1,2,10,aster,ant,health,0.00824737548828125,0.0062103271484375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer10
meta-llama/Llama-3.2-1B,en,WEAT1,2,11,aster,ant,health,0.005939483642578125,0.0027675628662109375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer11
meta-llama/Llama-3.2-1B,en,WEAT1,2,12,aster,ant,health,0.03338623046875,0.0069427490234375,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer12
meta-llama/Llama-3.2-1B,en,WEAT1,2,13,aster,ant,health,0.0139923095703125,0.006134033203125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer13
meta-llama/Llama-3.2-1B,en,WEAT1,2,14,aster,ant,health,0.028533935546875,0.0135040283203125,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer14
meta-llama/Llama-3.2-1B,en,WEAT1,2,15,aster,ant,health,0.040008544921875,0.00836181640625,1.1920928955078125e-07,1.806020736694336e-05,151.5,ATLAS_base_en_WEAT1_prompt2_layer15
meta-llama/Llama-3.2-1B,en,WEAT1,3,0,clover,caterpillar,caress,0.0037326812744140625,0.00632476806640625,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer0
meta-llama/Llama-3.2-1B,en,WEAT1,3,1,clover,caterpillar,caress,0.00283050537109375,0.003261566162109375,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer1
meta-llama/Llama-3.2-1B,en,WEAT1,3,2,clover,caterpillar,caress,0.0013628005981445312,0.0013494491577148438,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer2
meta-llama/Llama-3.2-1B,en,WEAT1,3,3,clover,caterpillar,caress,0.00168609619140625,0.0027408599853515625,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer3
meta-llama/Llama-3.2-1B,en,WEAT1,3,4,clover,caterpillar,caress,0.0015382766723632812,0.002651214599609375,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer4
meta-llama/Llama-3.2-1B,en,WEAT1,3,5,clover,caterpillar,caress,0.00145721435546875,0.0018100738525390625,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer5
meta-llama/Llama-3.2-1B,en,WEAT1,3,6,clover,caterpillar,caress,0.0025196075439453125,0.0033359527587890625,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer6
meta-llama/Llama-3.2-1B,en,WEAT1,3,7,clover,caterpillar,caress,0.00411224365234375,0.006000518798828125,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer7
meta-llama/Llama-3.2-1B,en,WEAT1,3,8,clover,caterpillar,caress,0.004688262939453125,0.00750732421875,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer8
meta-llama/Llama-3.2-1B,en,WEAT1,3,9,clover,caterpillar,caress,0.00311279296875,0.003238677978515625,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer9
meta-llama/Llama-3.2-1B,en,WEAT1,3,10,clover,caterpillar,caress,0.005016326904296875,0.00464630126953125,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer10
meta-llama/Llama-3.2-1B,en,WEAT1,3,11,clover,caterpillar,caress,0.002750396728515625,0.002132415771484375,3.170967102050781e-05,1.615285873413086e-05,1.96309963099631,ATLAS_base_en_WEAT1_prompt3_layer11
