model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,0,0.3883562,0.005094406,0.0,0.0,0.04500519,0.24846356526824287,0.5282488523342962,5.4410596,5.2964592489601614e-08,2.6482296244800807e-08,True,True,16,0.000228166,0.9611069,0.06240219,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer0
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,1,0.15359317,0.0050151227,0.0,0.0,0.12091632,0.014793359084384838,0.29239297624085625,2.168858,0.03009346234694199,0.015046731173470995,True,False,16,0.0006065875,0.83967245,0.08683078,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer1
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,2,0.2808712,0.005051677,0.0,0.0,0.7512364,0.14156648048088588,0.4201759444840189,3.9517498,7.758183072703595e-05,3.8790915363517975e-05,True,True,16,0.0037778295,0.7813373,0.25414515,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer2
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,3,0.48204908,0.0051496495,0.0,0.0,1.372522,0.34139999096632084,0.6226981645321839,6.7174187,1.8497203768674808e-11,9.248601884337404e-12,True,True,16,0.0070550274,0.8260454,0.3395744,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer3
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,4,0.7163006,0.0053226673,0.0,0.0,0.59767,0.5733082704688675,0.8592929429863327,9.818172,0.0,0.0,True,True,16,0.0031695878,0.9214607,0.18787575,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer4
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,5,0.81655777,0.005420751,0.0,0.0,1.186979,0.6722539450264673,0.9608615849875708,11.090654,0.0,0.0,True,True,16,0.006473337,0.9016167,0.2525447,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer5
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,6,0.83056873,0.0054369066,0.0,0.0,1.6932479,0.6860500442268016,0.9750874174354909,11.264182,0.0,0.0,True,True,16,0.009329053,0.8839649,0.32124257,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer6
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,7,1.052066,0.0056999163,0.0,0.0,2.2848377,0.9040930169058579,1.2000389201211197,13.935057,0.0,0.0,True,True,16,0.013275372,0.8908068,0.35468984,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer7
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,8,1.1381286,0.005819077,0.0,0.0,2.6098044,0.9886169530808245,1.2876403234542095,14.919845,0.0,0.0,True,True,16,0.015508814,0.89094794,0.40905213,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer8
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,9,1.1949054,0.0059001767,0.0,0.0,2.1159077,1.0443554510585225,1.3454553494938457,15.556109,0.0,0.0,True,True,16,0.0129678175,0.90496486,0.3732562,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer9
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,10,1.2271734,0.0059521324,0.0,0.0,2.9330595,1.0759621052198283,1.3783847899980672,15.906319,0.0,0.0,True,True,16,0.017740285,0.8918694,0.44957364,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer10
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,11,1.2348316,0.005962297,0.0,0.0,2.4935246,1.0834911690280358,1.3861719741299232,15.991932,0.0,0.0,True,True,16,0.014980663,0.901192,0.4179057,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer11
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,12,1.1483116,0.0058359616,0.0,0.0,3.2419982,0.9985831794095661,1.2980400505709027,15.031543,0.0,0.0,True,True,16,0.019192897,0.8798522,0.49182457,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer12
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,13,1.1346358,0.0058177104,0.0,0.0,3.5991654,0.9851416735462866,1.2841299386210718,14.875803,0.0,0.0,True,True,16,0.02160941,0.87105286,0.49277318,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer13
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,14,1.0444928,0.0056976406,0.0,0.0,4.4334598,0.8965494307645452,1.1924362507692683,13.837509,0.0,0.0,True,True,16,0.025927005,0.84673226,0.5705772,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer14
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,15,1.092787,0.0057640118,0.0,0.0,4.8985963,0.9439844283159984,1.2415896264020192,14.393722,0.0,0.0,True,True,16,0.028697878,0.8459492,0.5835414,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer15
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,16,1.0756999,0.0057414477,0.0,0.0,5.083512,0.9271888726718985,1.2242109781734385,14.196473,0.0,0.0,True,True,16,0.029753512,0.8406939,0.59877086,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer16
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,17,1.1786433,0.0058844024,0.0,0.0,4.3920517,1.028294784790284,1.3289919068753655,15.364952,0.0,0.0,True,True,16,0.026228312,0.8633617,0.601609,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer17
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,18,1.1814959,0.0058876765,0.0,0.0,4.135551,1.0311055212613132,1.3318862885836575,15.397856,0.0,0.0,True,True,16,0.024733543,0.8675895,0.62132007,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer18
Debk/MobileLLM-125M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,19,1.1987413,0.0059164283,0.0,0.0,4.953118,1.047984182063322,1.3494984515273762,15.584601,0.0,0.0,True,True,16,0.02946334,0.85769683,0.5481328,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer19
