model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,0,0.7103023,0.0053153345,0,0,0.0011472654,0.5674084972061855,0.8531960893950719,9.742669,0.0,0.0,True,True,16,6.0890707e-06,0.996526,0.010194123,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer0
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,1,0.39278623,0.0050966875,0,0,0.08209242,0.2528622679288419,0.5327102013056246,5.5018945,3.757318300934287e-08,1.8786591504671435e-08,True,True,16,0.0004181208,0.9479464,0.06785247,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer1
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,2,0.4542137,0.0051299296,0,0,0.3075729,0.3138341762267853,0.5945932410515045,6.341683,2.2726864834510252e-10,1.1363432417255126e-10,True,True,16,0.0015694117,0.9128132,0.13286915,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer2
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,3,0.34347412,0.0050757034,0,0,0.62083143,0.20383850147705643,0.4831097383262578,4.8210974,1.4277064079859514e-06,7.138532039929757e-07,True,True,16,0.0031655168,0.83632916,0.24201913,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer3
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,4,0.24716908,0.0050401255,0,0,0.61673695,0.10802370651114088,0.38631444828164474,3.4815567,0.0004985083136319624,0.0002492541568159812,True,True,16,0.0031158817,0.77434534,0.23619416,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer4
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,5,0.5840743,0.0052138865,0,0,0.20633706,0.44255070957227016,0.725597927245662,8.08886,6.661338147750939e-16,3.3306690738754696e-16,True,True,16,0.0010759338,0.9438548,0.14186549,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer5
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,6,1.2465371,0.0059723654,0,0,0.32286218,1.095068955496208,1.3980052231994706,16.129913,0.0,0.0,True,True,16,0.0019143104,0.9649145,0.15662014,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer6
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,7,1.439255,0.00629599,0,0,0.3382041,1.2837371975022667,1.5947728008192665,18.138681,0.0,0.0,True,True,16,0.002122838,0.9680009,0.16140091,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer7
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,8,1.5904183,0.0065825856,0,0,0.41108146,1.4314003168831106,1.7494363606681589,19.602575,0.0,0.0,True,True,16,0.0026813014,0.9674583,0.16263437,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer8
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,9,1.5473872,0.006498688,0,0,0.53773993,1.3893858430028474,1.705388641631552,19.194914,0.0,0.0,True,True,16,0.0034536049,0.96204674,0.18779969,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer9
