model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,0,0.14562398,0.0050132554,0.0,0.0,0.00012534253,0.006850020453683492,0.284397943451651,2.0567098,0.03971415216596785,0.019857076082983927,True,False,16,6.2844015e-07,0.99455625,0.0032749623,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer0
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,1,0.30010265,0.005056963,0.0,0.0,0.21345998,0.16072505079819258,0.4394802514402718,4.2201214,2.4417081293082177e-05,1.2208540646541088e-05,True,True,16,0.0010800983,0.8905174,0.13692993,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer1
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,2,0.6005131,0.005226163,0.0,0.0,0.23831806,0.4588229752649534,0.7422032259832155,8.306747,0.0,0.0,True,True,16,0.0012368988,0.94145083,0.15534168,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer2
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,3,0.8470674,0.0054496545,0.0,0.0,0.35293683,0.7023793942336447,0.9917554371948831,11.474493,0.0,0.0,True,True,16,0.0019158581,0.9483495,0.13620818,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer3
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,4,1.0944333,0.005750138,0.0,0.0,0.4236482,0.9458099004179721,1.243056714877438,14.432786,0.0,0.0,True,True,16,0.0024302583,0.9549797,0.14813733,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer4
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,5,1.1840844,0.0058768853,0.0,0.0,0.16357754,1.033831912069702,1.33433691880188,15.445751,0.0,0.0,True,True,16,0.00096217,0.9738089,0.13441646,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer5
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,6,1.2366939,0.005956069,0.0,0.0,0.050180927,1.0854325164855958,1.3879552017150878,16.024422,0.0,0.0,True,True,16,0.00029866138,0.98602664,0.07553196,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer6
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,7,1.3840177,0.0061985045,0.0,0.0,0.33926773,1.2297085983813245,1.5383268134533923,17.579163,0.0,0.0,True,True,16,0.0020837295,0.96703166,0.16792226,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer7
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,8,1.4177768,0.006257711,0.0,0.0,0.35890082,1.2627325048303324,1.572821141257314,17.922564,0.0,0.0,True,True,16,0.002259221,0.9664899,0.12583828,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer8
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,9,1.3592405,0.0061575323,0.0,0.0,0.7334092,1.2054422619708856,1.5130388018718879,17.321798,0.0,0.0,True,True,16,0.0044906884,0.9507433,0.2138052,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer9
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,10,1.3893496,0.006208063,0.0,0.0,0.42028463,1.234921546504764,1.5437776131174283,17.633295,0.0,0.0,True,True,16,0.0025865112,0.9634136,0.1583432,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer10
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,11,1.3935748,0.0062162396,0.0,0.0,0.63268214,1.2390451353852108,1.5481045323546574,17.675285,0.0,0.0,True,True,16,0.0038677515,0.9554074,0.21493089,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer11
