model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT1,0,0.11021493,0.0050076484,0.0,0.0,0.018331187,-0.02848142094444664,0.24891127354931267,1.5574836,0.11935572226155533,0.059677861130777665,False,False,16,9.172243e-05,0.9131062,0.039565086,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer0
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT1,1,0.4725555,0.005149042,0.0,0.0,2.944005,0.33191469599502776,0.6131962807009866,6.5855126,4.5331960407679617e-11,2.2665980203839808e-11,True,True,16,0.015091706,0.7409364,0.3623904,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer1
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT1,2,0.86179733,0.0054718414,0.0,0.0,2.2391455,0.7168150780627995,1.0067795874645442,11.650334,0.0,0.0,True,True,16,0.012174734,0.8723153,0.4154442,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer2
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT1,3,0.90995914,0.005526931,0.0,0.0,2.7257204,0.7642488858789975,1.055669389000458,12.239957,0.0,0.0,True,True,16,0.014801543,0.86672944,0.43388963,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer3
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT1,4,0.7920175,0.0054006977,0.0,0.0,2.5599325,0.6479808589934297,0.9360541799546294,10.777297,0.0,0.0,True,True,16,0.013774116,0.85227746,0.52760977,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer4
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT1,5,0.5318898,0.005201996,0.0,0.0,7.7445097,0.3905276659527347,0.6732519265613034,7.3745694,1.6497914145929826e-13,8.248957072964913e-14,True,True,16,0.03955174,0.62892157,0.72202384,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer5
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT2,0,1.0166333,0.005646019,0.0,0.0,0.015520907,0.8693615941718176,1.1639049501702234,13.529856,0.0,0.0,True,True,16,8.831294e-05,0.99075645,0.03882277,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer0
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT2,1,1.1062572,0.005766823,0.0,0.0,0.53954595,0.9574183130670383,1.2550960874151396,14.567593,0.0,0.0,True,True,16,0.0031285768,0.94947326,0.1974839,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer1
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT2,2,1.1769637,0.005874366,0.0,0.0,2.3393276,1.0267433975073774,1.327183976378731,15.356157,0.0,0.0,True,True,16,0.013758272,0.90063065,0.4849249,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer2
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT2,3,0.984588,0.0056169177,0.0,0.0,3.143095,0.8376963740805765,1.131479679920278,13.137282,0.0,0.0,True,True,16,0.01759012,0.8658124,0.62527317,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer3
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT2,4,1.0456713,0.0056988043,0.0,0.0,4.326979,0.8977128344338428,1.1936298531729688,13.851708,0.0,0.0,True,True,16,0.024091199,0.8523222,0.48683584,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer4
Debk/pythia-70m-finetuned-alpaca-hindi-bengali-full,hindi_bengali_finetuned,en,WEAT2,5,0.874113,0.0055057905,0.0,0.0,8.207945,0.7286817011332439,1.019544345428951,11.780337,0.0,0.0,True,True,16,0.046906367,0.75497824,0.70566833,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer5
