model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer0
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer1
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer2
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer3
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer4
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer5
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer6
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer7
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer8
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer9
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer0
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer1
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer2
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer3
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer4
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer5
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer6
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer7
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer8
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_finetuned_en_WEAT2_layer9
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer0
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer1
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer2
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer3
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer4
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer5
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer6
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer7
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer8
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,512,32,Enhanced_CEAT_finetuned_en_WEAT6_layer9
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer0
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer1
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer2
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer3
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer4
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer5
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer6
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer7
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer8
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2048,128,Enhanced_CEAT_finetuned_hi_WEAT1_layer9
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2032,127,Enhanced_CEAT_finetuned_hi_WEAT2_layer0
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2032,127,Enhanced_CEAT_finetuned_hi_WEAT2_layer1
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2032,127,Enhanced_CEAT_finetuned_hi_WEAT2_layer2
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2032,127,Enhanced_CEAT_finetuned_hi_WEAT2_layer3
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,hi,WEAT2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,2032,127,Enhanced_CEAT_finetuned_hi_WEAT2_layer4
