model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
EleutherAI/pythia-70m,base,en,WEAT1,0,0.10816286,0.0050073704,0,0,0.018318044,-0.030529634497190455,0.2468553496814022,1.5285276,0.12638159195577225,0.06319079597788613,False,False,16,9.1653244e-05,0.91149104,0.039550163,1600,100,Enhanced_CEAT_base_en_WEAT1_layer0
EleutherAI/pythia-70m,base,en,WEAT1,1,0.47058636,0.005148611,0,0,3.1710517,0.32995145210436805,0.611221266897402,6.5583453,5.440803363399027e-11,2.7204016816995136e-11,True,True,16,0.01625567,0.7300767,0.38484687,1600,100,Enhanced_CEAT_base_en_WEAT1_layer1
EleutherAI/pythia-70m,base,en,WEAT1,2,0.86590576,0.0054767644,0,0,2.3791714,0.7208583052049624,1.0109532182325376,11.700613,0.0,0.0,True,True,16,0.012933417,0.86904246,0.4309994,1600,100,Enhanced_CEAT_base_en_WEAT1_layer2
EleutherAI/pythia-70m,base,en,WEAT1,3,0.9159276,0.00553463,0,0,2.9784653,0.7701158912435899,1.0617392866357436,12.311667,0.0,0.0,True,True,16,0.016208887,0.8614892,0.4402343,1600,100,Enhanced_CEAT_base_en_WEAT1_layer3
EleutherAI/pythia-70m,base,en,WEAT1,4,0.80785966,0.0054189614,0,0,3.2664216,0.6635796564947675,0.9521396618951251,10.974326,0.0,0.0,True,True,16,0.017361943,0.8375064,0.5350472,1600,100,Enhanced_CEAT_base_en_WEAT1_layer4
EleutherAI/pythia-70m,base,en,WEAT1,5,0.6255821,0.00527756,0,0,9.993898,0.48319695002152074,0.7679672479002322,8.61128,0.0,0.0,True,True,16,0.051592886,0.6405965,0.77503836,1600,100,Enhanced_CEAT_base_en_WEAT1_layer5
EleutherAI/pythia-70m,base,en,WEAT2,0,1.0151502,0.005644136,0,0,0.015603148,0.8679030588243708,1.1623973199750677,13.512371,0.0,0.0,True,True,16,8.875225e-05,0.9907199,0.03891921,1600,100,Enhanced_CEAT_base_en_WEAT2_layer0
EleutherAI/pythia-70m,base,en,WEAT2,1,1.1016803,0.00576069,0,0,0.59116703,0.9529205537603108,1.2504400037958414,14.515042,0.0,0.0,True,True,16,0.0034227907,0.9469347,0.20006335,1600,100,Enhanced_CEAT_base_en_WEAT2_layer1
EleutherAI/pythia-70m,base,en,WEAT2,2,1.1723391,0.0058669248,0,0,2.1648097,1.0222139738328182,1.3224641896956242,15.305517,0.0,0.0,True,True,16,0.012739618,0.9039828,0.46121526,1600,100,Enhanced_CEAT_base_en_WEAT2_layer2
EleutherAI/pythia-70m,base,en,WEAT2,3,0.9905592,0.0056233257,0,0,2.8655858,0.8435838053339552,1.1375346352940965,13.209423,0.0,0.0,True,True,16,0.016227787,0.87186,0.5628464,1600,100,Enhanced_CEAT_base_en_WEAT2_layer3
EleutherAI/pythia-70m,base,en,WEAT2,4,1.0363634,0.0056828596,0,0,3.2601712,0.8886119809993152,1.1841147455326673,13.747654,0.0,0.0,True,True,16,0.018503524,0.8692753,0.45348936,1600,100,Enhanced_CEAT_base_en_WEAT2_layer4
EleutherAI/pythia-70m,base,en,WEAT2,5,1.0054337,0.0056452705,0,0,3.8146055,0.8581717553447267,1.1526956019093018,13.381693,0.0,0.0,True,True,16,0.020697037,0.8575169,0.6322306,1600,100,Enhanced_CEAT_base_en_WEAT2_layer5
EleutherAI/pythia-70m,base,en,WEAT6,0,1.4760499,0.019880502,0,0,0.0046578986,1.1996984485775468,1.7524013515323165,10.468571,0.0,0.0,True,True,16,9.304359e-05,0.9934652,0.048967004,512,32,Enhanced_CEAT_base_en_WEAT6_layer0
EleutherAI/pythia-70m,base,en,WEAT6,1,1.7496556,0.02160411,0,0,0.00044902848,1.4615734924737687,2.037737716251207,11.903766,0.0,0.0,True,True,16,9.679096e-06,0.9982219,0.01663053,512,32,Enhanced_CEAT_base_en_WEAT6_layer1
EleutherAI/pythia-70m,base,en,WEAT6,2,1.5708038,0.020445723,0,0,0.038436946,1.2905513578223369,1.8510561651421407,10.985521,0.0,0.0,True,True,16,0.0007910421,0.98209757,0.15085399,512,32,Enhanced_CEAT_base_en_WEAT6_layer2
EleutherAI/pythia-70m,base,en,WEAT6,3,1.4089465,0.019502267,0,0,0.0015510407,1.1352365173288486,1.6826565109304288,10.089088,0.0,0.0,True,True,16,3.0371748e-05,0.99608856,0.027438164,512,32,Enhanced_CEAT_base_en_WEAT6_layer3
EleutherAI/pythia-70m,base,en,WEAT6,4,1.3855597,0.019379267,0,0,0.12434042,1.1127142003649728,1.6584051557904227,9.953059,0.0,0.0,True,True,16,0.0024543547,0.9642622,0.2746874,512,32,Enhanced_CEAT_base_en_WEAT6_layer4
EleutherAI/pythia-70m,base,en,WEAT6,5,1.0554482,0.01782921,0,0,0.8179107,0.7937419117493213,1.3171544372039259,7.904436,2.6645352591003757e-15,1.3322676295501878e-15,True,True,16,0.014889126,0.8847656,0.6827863,512,32,Enhanced_CEAT_base_en_WEAT6_layer5
