model_id,model_type,total_records,total_sentences_generated,languages_evaluated,categories_evaluated,layers_evaluated,mean_combined_effect_size,max_combined_effect_size,std_combined_effect_size,significant_tests_05,significant_tests_01,mean_p_value,mean_tau_squared,mean_i_squared,mean_context_consistency
apple/OpenELM-270M,base,48,59392,['en'],"['WEAT1', 'WEAT2', 'WEAT6']",16,1.178223729133606,1.6524490118026733,0.3831142783164978,48,48,6.333510775275812e-06,0.0,0.0,0.9555923342704773
facebook/MobileLLM-125M,base,90,111360,['en'],"['WEAT1', 'WEAT2', 'WEAT6']",30,0.851684033870697,1.298543095588684,0.3282780051231384,85,83,0.026165956952695395,0.0,0.0,0.8824081420898438
cerebras/Cerebras-GPT-111M,base,30,37120,['en'],"['WEAT1', 'WEAT2', 'WEAT6']",10,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0
EleutherAI/pythia-70m,base,18,22272,['en'],"['WEAT1', 'WEAT2', 'WEAT6']",6,1.0423340797424316,1.7496556043624878,0.4000478684902191,17,17,0.0070211995561212754,0.0,0.0,0.8949662446975708
meta-llama/Llama-3.2-1B,base,48,59392,['en'],"['WEAT1', 'WEAT2', 'WEAT6']",16,1.3563474416732788,1.6705117225646973,0.27384382486343384,48,48,9.738273104575867e-10,0.0,0.0,0.9531860947608948
Qwen/Qwen2.5-1.5B,base,84,103936,['en'],"['WEAT1', 'WEAT2', 'WEAT6']",28,1.1246341466903687,1.5375210046768188,0.30319762229919434,84,84,3.2330454273331643e-06,0.0,0.0,0.9500916600227356
HuggingFaceTB/SmolLM2-135M,base,90,111360,['en'],"['WEAT1', 'WEAT2', 'WEAT6']",30,0.8541816473007202,1.5569767951965332,0.7251625657081604,85,82,0.014957311022924583,0.0,0.0,0.8193977475166321
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,36,49824,"['en', 'hi']","['WEAT1', 'WEAT2', 'WEAT6']",6,0.5076794624328613,1.7483047246932983,0.6920002102851868,30,29,0.07122908852822331,0.0001696145110246208,0.23450485865275064,0.7779410481452942
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,60,83040,"['en', 'hi']","['WEAT1', 'WEAT2', 'WEAT6']",10,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,180,249120,"['en', 'hi']","['WEAT1', 'WEAT2', 'WEAT6']",30,0.5074438452720642,1.2807517051696777,0.5267500281333923,154,148,0.0867164796010027,0.0004113438642687268,0.3259857177734375,0.8229426741600037
DebK/OpenELM-270M-finetuned-alpaca-hindi_full,finetuned,96,132864,"['en', 'hi']","['WEAT1', 'WEAT2', 'WEAT6']",16,0.6963674426078796,1.6226592063903809,0.6247943043708801,88,84,0.02531277700339761,0.0,0.0,0.9443602561950684
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,96,132864,"['en', 'hi']","['WEAT1', 'WEAT2', 'WEAT6']",16,0.9324354529380798,1.6581522226333618,0.5236578583717346,86,80,0.030047826892832825,0.0,0.0,0.9191761016845703
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,168,232512,"['en', 'hi']","['WEAT1', 'WEAT2', 'WEAT6']",28,0.6336707472801208,1.5379620790481567,0.6184768080711365,163,158,0.009707242791317754,0.0,0.0,0.8312886357307434
DebK/SmolLM2-135M-finetuned-alpaca-hindi,finetuned,180,249120,"['en', 'hi']","['WEAT1', 'WEAT2', 'WEAT6']",30,0.5238340497016907,1.5442086458206177,0.6737602949142456,139,122,0.07861919622614671,0.00016198501818709903,0.15971200731065538,0.663892388343811
