model_id,language,weat_category_id,layer_idx,weat_score,comments
cerebras/Cerebras-GPT-111M,en,WEAT1,0,-0.20069234,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,1,-0.27907127,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,2,-0.19473778,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,3,-0.2920939,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,4,-0.34470016,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,5,-0.38939816,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,6,-0.40384907,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,7,-0.3431607,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,8,-0.27980343,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT1,9,-0.27582794,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,0,-0.6433799,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,1,-0.39725232,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,2,-0.56541336,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,3,-0.52034706,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,4,-0.3823809,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,5,-0.41229615,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,6,-0.3942977,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,7,-0.39768493,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,8,-0.35411662,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT2,9,-0.31610298,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,0,-0.72342324,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,1,1.0509168,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,2,0.92912984,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,3,0.54268104,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,4,0.80748993,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,5,0.85910213,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,6,0.910547,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,7,1.2339151,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,8,1.4022778,After_epoch_4
cerebras/Cerebras-GPT-111M,en,WEAT6,9,1.0351124,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,0,0.3054151,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,1,0.28069422,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,2,0.35793248,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,3,0.49910012,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,4,0.61624074,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,5,0.6022917,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,6,0.59066004,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,7,0.6174762,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,8,0.66218996,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT1,9,0.69979006,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,0,0.52560735,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,1,0.44233266,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,2,0.43654716,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,3,0.50406307,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,4,0.5314287,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,5,0.5492404,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,6,0.566493,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,7,0.56384784,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,8,0.6260651,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT2,9,0.62840956,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,0,0.22574565,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,1,-0.15476665,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,2,-0.44432303,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,3,-0.61897296,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,4,-0.2741117,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,5,-0.34297016,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,6,-0.2996727,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,7,-0.3233494,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,8,-0.4530411,After_epoch_4
cerebras/Cerebras-GPT-111M,hi,WEAT6,9,-0.45654488,After_epoch_4
