model_id,language,weat_category,layer_index,layer_name,attribution_score,baseline_bias_l2,localization_ratio,is_significant_layer
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,0,layer_0,0.11512207031249996,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,1,layer_1,0.09117675781250005,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,2,layer_2,0.07335693359375002,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,3,layer_3,0.23919433593750006,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,4,layer_4,0.24031738281250004,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,5,layer_5,0.2249072265624999,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,6,layer_6,0.2267285156250001,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,7,layer_7,0.22490722656249992,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,8,layer_8,0.20465332031249997,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT1,9,layer_9,0.17439941406249995,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,0,layer_0,0.10097412109375005,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,1,layer_1,0.10257812500000005,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,2,layer_2,0.07234863281250005,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,3,layer_3,0.14173828125000004,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,4,layer_4,0.13614746093750008,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,5,layer_5,0.13565917968750008,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,6,layer_6,0.1477783203125,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,7,layer_7,0.15943847656250007,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,8,layer_8,0.1806445312500001,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT2,9,layer_9,0.15478515625,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,0,layer_0,0.0975341796875,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,1,layer_1,0.10686035156250001,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,2,layer_2,0.06802734375000005,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,3,layer_3,0.11180908203125002,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,4,layer_4,0.11296875000000002,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,5,layer_5,0.11298095703125002,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,6,layer_6,0.11708007812499997,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,7,layer_7,0.13765136718749993,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,8,layer_8,0.1405224609375001,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,English,WEAT6,9,layer_9,0.16446289062499994,0.0,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,0,layer_0,0.1046277552354531,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,1,layer_1,0.09933619589590635,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,2,layer_2,0.08311936576835445,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,3,layer_3,0.16059912091395898,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,4,layer_4,0.1481105689386852,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,5,layer_5,0.16466365200085725,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,6,layer_6,0.16350446425256188,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,7,layer_7,0.16269627737461542,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,8,layer_8,0.15359680102985407,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT1,9,layer_9,0.12318360796961618,0.2081508949154713,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,0,layer_0,0.11877516599372034,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,1,layer_1,0.1003023843467235,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,2,layer_2,0.08125468745827671,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,3,layer_3,0.12453302924521263,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,4,layer_4,0.12177750114351513,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,5,layer_5,0.11165260494686667,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,6,layer_6,0.12995116985403002,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,7,layer_7,0.12222756105475129,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,8,layer_8,0.11242496582679457,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT2,9,layer_9,0.12253244034945965,0.18931961059570312,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,0,layer_0,0.09503373027546329,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,1,layer_1,0.09668703873030612,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,2,layer_2,0.08760734474781205,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,3,layer_3,0.09032585193490374,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,4,layer_4,0.09206317606440283,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,5,layer_5,0.1004617429702193,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,6,layer_6,0.11277303986717022,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,7,layer_7,0.1231459751274087,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,8,layer_8,0.13970306415430975,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Hindi,WEAT6,9,layer_9,0.1734083524905144,0.22902929782867432,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,0,layer_0,0.17777006104074672,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,1,layer_1,0.15596625478231713,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,2,layer_2,0.13690111301710892,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,3,layer_3,0.21552876697660528,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,4,layer_4,0.2074274579397049,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,5,layer_5,0.22873124002768058,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,6,layer_6,0.2603703840976132,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,7,layer_7,0.24722295957906487,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,8,layer_8,0.2707562072343867,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT1,9,layer_9,0.32760299182400615,0.8789899102572737,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT2,0,layer_0,0.1715172626755454,0.8688409978693182,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT2,1,layer_1,0.15830397280779746,0.8688409978693182,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT2,2,layer_2,0.14461617253043427,0.8688409978693182,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT2,3,layer_3,0.18988629064776688,0.8688409978693182,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT2,4,layer_4,0.18154129507866765,0.8688409978693182,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT2,5,layer_5,0.16988385184244673,0.8688409978693182,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT2,6,layer_6,0.19071668386459353,0.8688409978693182,0.0,True
Debk/cerebras-111m-finetuned-alpaca-hindi-bengali,Bengali,WEAT2,7,layer_7,0.1921630280939015,0.8688409978693182,0.0,True
