model_id,language,weat_category,layer_index,layer_name,attribution_score,baseline_bias_l2,localization_ratio,is_significant_layer
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,layer_0,0.16244140625000006,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,layer_1,0.12284667968749992,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,2,layer_2,0.16998535156250005,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,3,layer_3,0.16329833984374997,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,4,layer_4,0.18394042968749996,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,5,layer_5,0.19471191406249994,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,6,layer_6,0.14239013671874992,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,7,layer_7,0.1256103515625,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,8,layer_8,0.14737304687500005,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,9,layer_9,0.1467480468750001,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,10,layer_10,0.15033203124999997,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,11,layer_11,0.1446484375000001,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,12,layer_12,0.17240234375000008,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,13,layer_13,0.26946777343750017,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,14,layer_14,0.40235351562500016,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,15,layer_15,0.5346386718749999,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,16,layer_16,0.6540332031249997,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,17,layer_17,2.6458593750000006,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,0,layer_0,0.23628906249999995,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,1,layer_1,0.18707519531250005,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,2,layer_2,0.10866210937499993,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,3,layer_3,0.10295654296874995,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,4,layer_4,0.10423095703124992,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,5,layer_5,0.11351806640625009,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,6,layer_6,0.10625000000000001,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,7,layer_7,0.12058105468750001,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,8,layer_8,0.12985351562499992,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,9,layer_9,0.140625,0.0,0.0,False
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,10,layer_10,0.14136718749999996,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,11,layer_11,0.1439697265625,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,12,layer_12,0.1635986328125,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,13,layer_13,0.2187304687500001,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,14,layer_14,0.2957324218750001,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,15,layer_15,0.3324902343750001,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,16,layer_16,0.43890625000000016,0.0,0.0,True
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,17,layer_17,1.4244921875000003,0.0,0.0,True
