model_id,model_type,language,weat_category,layer_index,layer_name,attribution_score,baseline_bias_l2,localization_ratio,is_significant_layer
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,0,layer_0,0.04239624023437498,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,1,layer_1,1.8366796874999998,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,2,layer_2,2.9251171874999997,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,3,layer_3,2.919140625,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,4,layer_4,2.9063281250000004,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,5,layer_5,2.9396484375,0.0,0.0,True
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,6,layer_6,2.938417968749999,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,7,layer_7,2.946835937500001,0.0,0.0,True
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,8,layer_8,2.9295703125,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,9,layer_9,2.9323632812499993,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,10,layer_10,2.93408203125,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,11,layer_11,2.94080078125,0.0,0.0,True
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,12,layer_12,2.9519921874999993,0.0,0.0,True
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,13,layer_13,2.9553124999999993,0.0,0.0,True
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,14,layer_14,2.94259765625,0.0,0.0,True
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,15,layer_15,2.9437109375000006,0.0,0.0,True
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,16,layer_16,2.93087890625,0.0,0.0,False
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,17,layer_17,2.9386328125000007,0.0,0.0,False
