model_id,model_type,language,weat_category,layer_index,layer_name,attribution_score,baseline_bias_l2,localization_ratio,is_significant_layer
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,0,layer_0,0.10823730468749997,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,1,layer_1,0.09618408203124998,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,layer_2,0.07637939453125,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,layer_3,0.23446289062499998,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,4,layer_4,0.24225097656249997,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,5,layer_5,0.22989746093749996,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,6,layer_6,0.22822753906249993,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,7,layer_7,0.22513671874999996,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,8,layer_8,0.19546386718749992,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT1,9,layer_9,0.2104736328125,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,0,layer_0,0.1022412109375,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,1,layer_1,0.10162109374999996,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,2,layer_2,0.07127441406249996,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,3,layer_3,0.13687988281250008,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,4,layer_4,0.12609374999999992,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,5,layer_5,0.13056640625,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,6,layer_6,0.13764160156249994,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,7,layer_7,0.1630322265624999,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,8,layer_8,0.20927734375,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT2,9,layer_9,0.18954101562500006,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,0,layer_0,0.09904541015625005,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,1,layer_1,0.1035888671875,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,2,layer_2,0.06640380859375004,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,3,layer_3,0.11234863281249999,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,4,layer_4,0.12147216796875,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,5,layer_5,0.12213134765625,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,6,layer_6,0.13292480468749995,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,7,layer_7,0.1508984375000001,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,8,layer_8,0.1520703125000001,0.0,0.0,True
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,finetuned,en,WEAT6,9,layer_9,0.15088867187499996,0.0,0.0,True
