model_id,model_type,language,weat_category,layer_index,layer_name,attribution_score,baseline_bias_l2,localization_ratio,is_significant_layer
meta-llama/Llama-3.2-1B,base,en,WEAT1,0,layer_0,0.005957183837890622,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT1,1,layer_1,0.048004760742187486,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT1,2,layer_2,0.048051147460937506,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT1,3,layer_3,0.04886840820312499,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT1,4,layer_4,0.048995361328125014,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT1,5,layer_5,0.049977416992187496,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,6,layer_6,0.049918212890624994,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT1,7,layer_7,0.05022094726562501,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,8,layer_8,0.04997985839843748,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,9,layer_9,0.05490478515625,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,10,layer_10,0.06027587890625,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,11,layer_11,0.059949951171874974,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,12,layer_12,0.063232421875,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,13,layer_13,0.06443237304687499,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,14,layer_14,0.09496337890625002,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT1,15,layer_15,0.18733154296875,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,0,layer_0,0.004983673095703123,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT2,1,layer_1,0.03812011718749999,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT2,2,layer_2,0.039023437499999994,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT2,3,layer_3,0.04064697265624999,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT2,4,layer_4,0.04184387207031251,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,5,layer_5,0.0410479736328125,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,6,layer_6,0.0398162841796875,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT2,7,layer_7,0.04170471191406251,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,8,layer_8,0.03963256835937501,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT2,9,layer_9,0.045181884765624986,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,10,layer_10,0.04768798828124998,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,11,layer_11,0.0503271484375,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,12,layer_12,0.05452758789062503,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,13,layer_13,0.06029907226562501,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,14,layer_14,0.088909912109375,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT2,15,layer_15,0.15645019531249993,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,0,layer_0,0.003460388183593749,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT6,1,layer_1,0.021560363769531257,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT6,2,layer_2,0.02299896240234376,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT6,3,layer_3,0.023142700195312504,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT6,4,layer_4,0.023283691406249994,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT6,5,layer_5,0.02337280273437501,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,6,layer_6,0.0226531982421875,0.0,0.0,False
meta-llama/Llama-3.2-1B,base,en,WEAT6,7,layer_7,0.024888916015625,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,8,layer_8,0.02577148437500001,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,9,layer_9,0.0298370361328125,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,10,layer_10,0.032330322265625,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,11,layer_11,0.035676269531250006,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,12,layer_12,0.039544677734375006,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,13,layer_13,0.04114257812500002,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,14,layer_14,0.0580810546875,0.0,0.0,True
meta-llama/Llama-3.2-1B,base,en,WEAT6,15,layer_15,0.10172607421875002,0.0,0.0,True
