model_id,language,weat_category_id,layer_idx,weat_score,comments
cerebras/Cerebras-GPT-111M,en,WEAT1,0,-0.20034802,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,1,-0.28028864,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,2,-0.19441259,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,3,-0.30087006,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,4,-0.35835916,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,5,-0.40349033,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,6,-0.40868083,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,7,-0.35239854,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,8,-0.28455257,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT1,9,-0.28332403,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,0,-0.6434948,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,1,-0.3952485,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,2,-0.57137877,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,3,-0.5266438,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,4,-0.38758254,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,5,-0.4204366,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,6,-0.40149188,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,7,-0.400453,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,8,-0.36007366,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT2,9,-0.32563052,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,0,-0.7226599,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,1,1.0835606,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,2,0.95105857,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,3,0.5526439,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,4,0.76923746,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,5,0.8189615,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,6,0.840797,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,7,1.2053764,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,8,1.4004421,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,en,WEAT6,9,1.0650847,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,0,0.30570897,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,1,0.28031656,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,2,0.35983196,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,3,0.5038452,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,4,0.61544484,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,5,0.6005429,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,6,0.5873468,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,7,0.6137973,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,8,0.66507864,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT1,9,0.6949648,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,0,0.52574825,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,1,0.43933412,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,2,0.4332798,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,3,0.504915,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,4,0.5332188,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,5,0.54855436,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,6,0.57223064,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,7,0.56654656,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,8,0.62885416,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT2,9,0.6289221,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,0,0.22649665,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,1,-0.16082129,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,2,-0.46715888,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,3,-0.5399698,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,4,-0.21002413,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,5,-0.27746642,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,6,-0.20937996,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,7,-0.23886843,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,8,-0.3682078,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
cerebras/Cerebras-GPT-111M,hi,WEAT6,9,-0.38092607,After_epoch_1_hindi_finetune_alpaca_cerebras_111m
