model_id,language,weat_category_id,layer_idx,weat_score,comments
facebook/MobileLLM-125M,en,WEAT1,0,0.39297125,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,1,0.24211362,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,2,0.2805391,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,3,0.2663287,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,4,0.54508626,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,5,0.16247924,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,6,0.17258558,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,7,0.374978,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,8,0.48118994,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,9,0.48387566,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,10,0.440008,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,11,0.36896148,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,12,0.26318455,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,13,0.25318673,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,14,0.32126144,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,15,0.37959126,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,16,0.49699572,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,17,0.5119688,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,18,0.5575671,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,19,0.5258843,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,20,0.5065826,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,21,0.5665275,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,22,0.5495097,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,23,0.46364158,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,24,0.33283392,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,25,0.32799146,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,26,0.26845065,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,27,0.14278625,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,28,0.08533129,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT1,29,0.0042736745,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
facebook/MobileLLM-125M,en,WEAT2,0,1.0530672,After_epoch_2_on_Hindi_alpaca_MobileLLM_125M_full
