model_id,language,weat_category_id,layer_idx,weat_score,comments
apple/OpenELM-270M,en,WEAT1,0,0.70050555,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,1,0.31245014,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,2,0.3008339,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,3,-0.02494102,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,4,-0.09007393,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,5,-0.10867198,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,6,-0.1321838,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,7,-0.20867172,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,8,-0.36699912,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,9,-0.54801756,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,10,-0.42977268,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,11,-0.3503891,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,12,-0.34549937,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,13,-0.15711819,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,14,-0.39703014,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT1,15,-0.27487984,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,0,0.93594897,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,1,0.7108827,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,2,0.54381245,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,3,0.26620427,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,4,0.25447652,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,5,0.235585,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,6,0.25704414,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,7,0.30232435,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,8,0.01860139,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,9,-0.17114063,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,10,-0.20062728,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,11,-0.34809095,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,12,-0.4053902,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,13,-0.08350405,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,14,-0.11659942,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
apple/OpenELM-270M,en,WEAT2,15,0.11951121,After_epoch_3_on_Hindi_alpaca_OpenELM_270M_full
