model_id,language,weat_category_id,layer_idx,weat_score,comments
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,0,-0.20081063,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,1,-0.29257098,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,2,-0.17373371,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,3,-0.28148726,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,4,-0.33855402,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,5,-0.36477527,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,6,-0.3887421,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,7,-0.33994704,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,8,-0.321953,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,9,-0.3125984,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,2,0.41758797,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,3,0.46882913,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,4,0.49402264,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,5,0.5106183,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,6,0.54373235,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,7,0.5325738,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,8,0.57619846,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,9,0.5746745,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,0,0.22450812,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,1,-0.18374445,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,2,-0.4202391,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,3,-0.4779015,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,4,-0.009831294,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,5,-0.12034642,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,6,-0.049584445,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,7,-0.06270279,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,8,-0.23311058,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT6,9,-0.31271592,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,2,0.3748531,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,3,0.5096505,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,5,0.6115721,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,4,0.6115784,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,1,-0.40687293,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,0,-0.6431391,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,0,0.30533758,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,1,0.28365237,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,2,-0.57416004,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,3,-0.53700554,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,7,-0.43950364,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,6,-0.44651142,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,5,-0.42380115,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,4,-0.4044797,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,9,1.082393,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,8,1.4018998,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,7,1.3586476,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,6,1.0362006,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,5,0.73889726,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,4,0.54692996,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,3,0.614445,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,2,1.0216624,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,1,1.1439639,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT6,0,-0.72366077,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,9,-0.2881453,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT2,8,-0.36617395,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,7,0.6374712,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,6,0.6018036,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,9,0.7447281,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,8,0.71451896,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,1,0.40704083,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT2,0,0.52541304,Before bengali finetuning on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,4,-0.32891306,After epoch 1 bengali finetune on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,5,-0.35565093,After epoch 1 bengali finetune on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,8,-0.25972512,After epoch 1 bengali finetune on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,english,WEAT1,9,-0.22053094,After epoch 1 bengali finetune on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,5,0.5778589,After epoch 1 bengali finetune on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,4,0.6184805,After epoch 1 bengali finetune on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,3,0.47352538,After epoch 1 bengali finetune on cerebras-gpt-111m-finetuned-alpaca-hindi
Debk/cerebras-gpt-111m-finetuned-alpaca-hindi,hindi,WEAT1,2,0.37837425,After epoch 1 bengali finetune on cerebras-gpt-111m-finetuned-alpaca-hindi
