model_id,language,weat_category_id,layer_idx,weat_score,comments
google/gemma-2b,hindi,WEAT1,0,0.3782733,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,1,0.4353837,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,2,0.3570512,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,3,0.35180497,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,4,0.24012381,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,5,0.14454576,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,6,0.044528108,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,7,0.083396524,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,8,0.109276645,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,9,0.16934742,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,10,-0.009351145,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,11,0.009491052,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,12,0.15425242,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,13,0.06564309,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,14,0.07308539,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,15,0.07297819,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,16,0.11292114,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT1,17,0.07989785,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,0,0.5590032,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,1,0.19668254,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,2,0.29180235,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,3,0.20823625,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,4,0.05448294,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,5,0.086343706,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,6,0.045019314,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,7,0.043564845,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,8,-0.011230326,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,9,-0.004677241,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,10,0.06625206,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,11,0.11412737,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,12,0.2040164,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,13,0.0820031,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,hindi,WEAT2,14,0.10635925,After epoch 1 hindi finetune on gemma-2b
