model_id,language,weat_category_id,layer_idx,weat_score,comments
google/gemma-2b,english,WEAT1,0,0.12590498,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,1,0.3404726,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,2,0.32377493,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,3,0.3810242,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,4,0.1581892,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,5,0.18252565,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,6,0.16211587,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,7,0.17058036,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,8,0.14893925,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,9,0.12899521,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,10,0.14410055,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,11,0.100154415,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,12,0.17947519,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,13,0.23405185,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,14,0.1735464,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,15,0.21088508,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,16,0.22246143,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT1,17,0.03324309,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,0,-0.1443967,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,1,0.060015425,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,2,0.3120066,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,3,0.33397478,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,4,0.10521621,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,5,0.09476168,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,6,0.050830536,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,7,0.025776498,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,8,0.043718632,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,9,-0.008519691,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,10,0.014674347,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,11,0.013621231,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,12,0.13246463,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,13,0.13452132,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,14,0.06765161,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,15,0.2873067,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,16,0.20794718,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT2,17,0.06514239,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT6,0,-0.7556688,After epoch 1 hindi finetune on gemma-2b
google/gemma-2b,english,WEAT6,1,-0.009705251,After epoch 1 hindi finetune on gemma-2b
