model_id,language,weat_category_id,layer_idx,weat_score,comments
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,0,0.3460086,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,1,0.482555,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,2,0.31863573,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,3,0.02183879,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,4,-0.0057401448,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,5,0.0018579076,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,6,0.0141987875,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,7,0.0123210335,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,8,0.020509284,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,9,-0.020578299,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,10,-0.046179514,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,11,-0.041623022,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,12,-0.10122462,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,13,-0.06718285,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,14,-0.037138473,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,15,-0.038320564,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,16,0.011223818,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,17,0.058134507,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
Debk/granite-3.3-2b-finetuned-alpaca-hindi_full,bengali,WEAT1,18,-0.01466731,After epoch 1 bengali finetune on granite-3.3-2b-finetuned-alpaca-hindi_full
