model_id,language,weat_category_id,layer_idx,weat_score,comments
EleutherAI/pythia-70m,en,WEAT1,0,-0.270603,After_epoch_2
EleutherAI/pythia-70m,en,WEAT1,1,0.26744905,After_epoch_2
EleutherAI/pythia-70m,en,WEAT1,2,0.32146308,After_epoch_2
EleutherAI/pythia-70m,en,WEAT1,3,0.15472797,After_epoch_2
EleutherAI/pythia-70m,en,WEAT1,4,0.14947443,After_epoch_2
EleutherAI/pythia-70m,en,WEAT1,5,0.040301904,After_epoch_2
EleutherAI/pythia-70m,en,WEAT2,0,-0.36708885,After_epoch_2
EleutherAI/pythia-70m,en,WEAT2,1,-0.04510392,After_epoch_2
EleutherAI/pythia-70m,en,WEAT2,2,0.072716095,After_epoch_2
EleutherAI/pythia-70m,en,WEAT2,3,-0.10886321,After_epoch_2
EleutherAI/pythia-70m,en,WEAT2,4,-0.06679492,After_epoch_2
EleutherAI/pythia-70m,en,WEAT2,5,-0.061020352,After_epoch_2
EleutherAI/pythia-70m,en,WEAT6,0,1.4268106,After_epoch_2
EleutherAI/pythia-70m,en,WEAT6,1,1.6936728,After_epoch_2
EleutherAI/pythia-70m,en,WEAT6,2,1.4675976,After_epoch_2
EleutherAI/pythia-70m,en,WEAT6,3,1.3303198,After_epoch_2
EleutherAI/pythia-70m,en,WEAT6,4,1.2863512,After_epoch_2
EleutherAI/pythia-70m,en,WEAT6,5,0.79791623,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT1,0,0.13229823,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT1,1,-0.09647039,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT1,2,-0.09065152,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT1,3,-0.20259854,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT1,4,-0.4265827,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT1,5,-0.31274205,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT2,0,0.80085236,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT2,1,0.74818856,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT2,2,0.57585883,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT2,3,0.17479022,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT2,4,0.28606242,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT2,5,0.24203007,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT6,0,-0.6769807,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT6,1,-0.671441,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT6,2,-0.5572012,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT6,3,-0.5193854,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT6,4,-0.7457212,After_epoch_2
EleutherAI/pythia-70m,hi,WEAT6,5,-0.5918679,After_epoch_2
