model_id,language,weat_category_id,layer_idx,weat_score,comments
EleutherAI/pythia-70m,en,WEAT1,0,-0.2719834,Before_finetuning
EleutherAI/pythia-70m,en,WEAT1,1,0.28303725,Before_finetuning
EleutherAI/pythia-70m,en,WEAT1,2,0.2540942,Before_finetuning
EleutherAI/pythia-70m,en,WEAT1,3,0.039477237,Before_finetuning
EleutherAI/pythia-70m,en,WEAT1,4,0.054840207,Before_finetuning
EleutherAI/pythia-70m,en,WEAT1,5,0.017640915,Before_finetuning
EleutherAI/pythia-70m,en,WEAT2,0,-0.36731234,Before_finetuning
EleutherAI/pythia-70m,en,WEAT2,1,-0.055221003,Before_finetuning
EleutherAI/pythia-70m,en,WEAT2,2,-0.0026369835,Before_finetuning
EleutherAI/pythia-70m,en,WEAT2,3,-0.05350547,Before_finetuning
EleutherAI/pythia-70m,en,WEAT2,4,0.095859155,Before_finetuning
EleutherAI/pythia-70m,en,WEAT2,5,0.13547297,Before_finetuning
EleutherAI/pythia-70m,en,WEAT6,0,1.4273373,Before_finetuning
EleutherAI/pythia-70m,en,WEAT6,1,1.6804004,Before_finetuning
EleutherAI/pythia-70m,en,WEAT6,2,1.5988847,Before_finetuning
EleutherAI/pythia-70m,en,WEAT6,3,1.3901097,Before_finetuning
EleutherAI/pythia-70m,en,WEAT6,4,1.3123546,Before_finetuning
EleutherAI/pythia-70m,en,WEAT6,5,1.1634686,Before_finetuning
