model_id,language,weat_category_id,layer_idx,weat_score,comments
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,0,0.2862768,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,1,0.1427927,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,2,0.19839817,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,3,0.21755786,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,4,0.16270387,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,5,0.2558735,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,6,0.2159387,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,7,0.35248226,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,8,0.27575195,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,9,0.35873693,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,10,0.320279,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,11,0.36664602,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,hindi,WEAT1,12,0.3689926,After epoch 3 bengali finetune on Qwen2.5-1.5B-finetuned-alpaca-hindi_full
