model_id,language,weat_category_id,layer_idx,SEAT_score,comments
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,0.6594227,SEAT_finetuned_English_WEAT1_layer0
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,0.39233413,SEAT_finetuned_English_WEAT1_layer1
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,2,0.38858,SEAT_finetuned_English_WEAT1_layer2
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,3,0.3182525,SEAT_finetuned_English_WEAT1_layer3
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,4,0.40886474,SEAT_finetuned_English_WEAT1_layer4
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,5,0.4791938,SEAT_finetuned_English_WEAT1_layer5
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,6,1.0601476,SEAT_finetuned_English_WEAT1_layer6
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,7,1.1437039,SEAT_finetuned_English_WEAT1_layer7
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,8,1.3917707,SEAT_finetuned_English_WEAT1_layer8
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,9,1.3097411,SEAT_finetuned_English_WEAT1_layer9
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,10,1.3274943,SEAT_finetuned_English_WEAT1_layer10
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,11,1.5082154,SEAT_finetuned_English_WEAT1_layer11
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,12,1.6159955,SEAT_finetuned_English_WEAT1_layer12
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,13,1.5402987,SEAT_finetuned_English_WEAT1_layer13
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,14,1.6674266,SEAT_finetuned_English_WEAT1_layer14
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT1,15,1.6766769,SEAT_finetuned_English_WEAT1_layer15
Debk/OpenELM-270M-finetuned-alpaca-hindi-bengali_full,English,WEAT2,0,0.8282349,SEAT_finetuned_English_WEAT2_layer0
