model_id,language,weat_category_id,layer_idx,SEAT_score,comments
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,0.13655367,SEAT_finetuned_English_WEAT1_layer0
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,0.62194973,SEAT_finetuned_English_WEAT1_layer1
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,2,0.15468332,SEAT_finetuned_English_WEAT1_layer2
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,3,0.7014913,SEAT_finetuned_English_WEAT1_layer3
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,4,1.0859761,SEAT_finetuned_English_WEAT1_layer4
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,5,1.1424545,SEAT_finetuned_English_WEAT1_layer5
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,6,1.1393955,SEAT_finetuned_English_WEAT1_layer6
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,7,1.0495161,SEAT_finetuned_English_WEAT1_layer7
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,8,0.8567239,SEAT_finetuned_English_WEAT1_layer8
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,9,0.99203134,SEAT_finetuned_English_WEAT1_layer9
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,10,0.8080209,SEAT_finetuned_English_WEAT1_layer10
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,11,1.1674179,SEAT_finetuned_English_WEAT1_layer11
Debk/Qwen2.5-1.5B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,12,1.140223,SEAT_finetuned_English_WEAT1_layer12
