model_id,language,weat_category_id,layer_idx,SEAT_score,comments
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,-0.07648476,SEAT_finetuned_English_WEAT1_layer0
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,0.39626265,SEAT_finetuned_English_WEAT1_layer1
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,2,0.53476524,SEAT_finetuned_English_WEAT1_layer2
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,3,0.6682039,SEAT_finetuned_English_WEAT1_layer3
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,4,0.6438593,SEAT_finetuned_English_WEAT1_layer4
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,5,0.84022504,SEAT_finetuned_English_WEAT1_layer5
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,6,0.7571356,SEAT_finetuned_English_WEAT1_layer6
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,7,0.6801043,SEAT_finetuned_English_WEAT1_layer7
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,8,0.3723753,SEAT_finetuned_English_WEAT1_layer8
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,9,0.3024766,SEAT_finetuned_English_WEAT1_layer9
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,10,0.37619266,SEAT_finetuned_English_WEAT1_layer10
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,11,0.75316447,SEAT_finetuned_English_WEAT1_layer11
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,12,0.53275275,SEAT_finetuned_English_WEAT1_layer12
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,13,0.87982076,SEAT_finetuned_English_WEAT1_layer13
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,14,1.5991641,SEAT_finetuned_English_WEAT1_layer14
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,15,1.6798364,SEAT_finetuned_English_WEAT1_layer15
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,16,1.6671302,SEAT_finetuned_English_WEAT1_layer16
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,17,1.5781872,SEAT_finetuned_English_WEAT1_layer17
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,0,-0.12677565,SEAT_finetuned_English_WEAT2_layer0
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,1,0.5230773,SEAT_finetuned_English_WEAT2_layer1
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,2,0.7119871,SEAT_finetuned_English_WEAT2_layer2
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,3,0.7593826,SEAT_finetuned_English_WEAT2_layer3
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,4,0.85599476,SEAT_finetuned_English_WEAT2_layer4
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,5,0.93627363,SEAT_finetuned_English_WEAT2_layer5
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,6,0.8239784,SEAT_finetuned_English_WEAT2_layer6
Debk/gemma-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT2,7,1.0055746,SEAT_finetuned_English_WEAT2_layer7
