model_id,language,weat_category_id,layer_idx,SEAT_score,comments
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,0.31342813,SEAT_finetuned_English_WEAT1_layer0
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,0.33165038,SEAT_finetuned_English_WEAT1_layer1
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,2,0.49530137,SEAT_finetuned_English_WEAT1_layer2
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,3,0.2657233,SEAT_finetuned_English_WEAT1_layer3
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,4,0.50656325,SEAT_finetuned_English_WEAT1_layer4
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,5,0.8807291,SEAT_finetuned_English_WEAT1_layer5
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,6,0.8178972,SEAT_finetuned_English_WEAT1_layer6
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,7,0.88648546,SEAT_finetuned_English_WEAT1_layer7
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,8,0.64840037,SEAT_finetuned_English_WEAT1_layer8
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,9,0.99734825,SEAT_finetuned_English_WEAT1_layer9
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,10,0.87966096,SEAT_finetuned_English_WEAT1_layer10
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,11,1.2020831,SEAT_finetuned_English_WEAT1_layer11
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,12,1.101369,SEAT_finetuned_English_WEAT1_layer12
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,13,1.2077781,SEAT_finetuned_English_WEAT1_layer13
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,14,1.1548135,SEAT_finetuned_English_WEAT1_layer14
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,15,1.1899576,SEAT_finetuned_English_WEAT1_layer15
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,16,1.1448767,SEAT_finetuned_English_WEAT1_layer16
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,17,1.0135472,SEAT_finetuned_English_WEAT1_layer17
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,18,1.1161091,SEAT_finetuned_English_WEAT1_layer18
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,19,1.185402,SEAT_finetuned_English_WEAT1_layer19
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,20,1.3642741,SEAT_finetuned_English_WEAT1_layer20
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,21,1.3183312,SEAT_finetuned_English_WEAT1_layer21
Debk/granite-3.3-2b-finetuned-alpaca-hindi-bengali_full,English,WEAT1,22,1.2762762,SEAT_finetuned_English_WEAT1_layer22
