model_id,language,weat_category_id,layer_idx,SEAT_score,comments
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,0,0.14965995,SEAT_finetuned_en_WEAT1_layer0
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,1,0.4939364,SEAT_finetuned_en_WEAT1_layer1
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,2,0.03799838,SEAT_finetuned_en_WEAT1_layer2
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,3,0.5815383,SEAT_finetuned_en_WEAT1_layer3
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,4,1.0013252,SEAT_finetuned_en_WEAT1_layer4
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,5,1.0014886,SEAT_finetuned_en_WEAT1_layer5
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,6,0.8449268,SEAT_finetuned_en_WEAT1_layer6
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,7,0.8044561,SEAT_finetuned_en_WEAT1_layer7
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,8,0.68899906,SEAT_finetuned_en_WEAT1_layer8
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,9,0.9402538,SEAT_finetuned_en_WEAT1_layer9
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,10,0.7354624,SEAT_finetuned_en_WEAT1_layer10
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,11,1.0473146,SEAT_finetuned_en_WEAT1_layer11
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,12,1.1615838,SEAT_finetuned_en_WEAT1_layer12
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,13,1.081201,SEAT_finetuned_en_WEAT1_layer13
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,14,1.1471303,SEAT_finetuned_en_WEAT1_layer14
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,15,1.0646605,SEAT_finetuned_en_WEAT1_layer15
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,16,1.035996,SEAT_finetuned_en_WEAT1_layer16
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,17,1.0624384,SEAT_finetuned_en_WEAT1_layer17
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,18,1.0697235,SEAT_finetuned_en_WEAT1_layer18
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,19,1.1961273,SEAT_finetuned_en_WEAT1_layer19
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,20,1.1713096,SEAT_finetuned_en_WEAT1_layer20
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,21,1.356924,SEAT_finetuned_en_WEAT1_layer21
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,22,1.4541829,SEAT_finetuned_en_WEAT1_layer22
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,23,1.3689396,SEAT_finetuned_en_WEAT1_layer23
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,24,1.4731637,SEAT_finetuned_en_WEAT1_layer24
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,25,1.543911,SEAT_finetuned_en_WEAT1_layer25
DebK/Qwen2.5-1.5B-finetuned-alpaca-hindi_full,en,WEAT1,26,1.3331108,SEAT_finetuned_en_WEAT1_layer26
