model_id,language,weat_category_id,layer_idx,SEAT_score,comments
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,0,-0.112906955,SEAT_finetuned_en_WEAT1_layer0
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,1,0.5133028,SEAT_finetuned_en_WEAT1_layer1
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,2,0.4859475,SEAT_finetuned_en_WEAT1_layer2
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,3,0.1788833,SEAT_finetuned_en_WEAT1_layer3
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,4,0.34700868,SEAT_finetuned_en_WEAT1_layer4
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,5,0.4304775,SEAT_finetuned_en_WEAT1_layer5
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,6,0.54388654,SEAT_finetuned_en_WEAT1_layer6
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,7,0.7585752,SEAT_finetuned_en_WEAT1_layer7
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,8,0.8496236,SEAT_finetuned_en_WEAT1_layer8
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,9,0.9986072,SEAT_finetuned_en_WEAT1_layer9
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,10,1.1804339,SEAT_finetuned_en_WEAT1_layer10
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,11,1.3237464,SEAT_finetuned_en_WEAT1_layer11
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,12,0.8528005,SEAT_finetuned_en_WEAT1_layer12
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,13,1.1820165,SEAT_finetuned_en_WEAT1_layer13
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,14,1.306672,SEAT_finetuned_en_WEAT1_layer14
DebK/SmolLM2-135M-finetuned-alpaca-hindi,en,WEAT1,15,1.4870429,SEAT_finetuned_en_WEAT1_layer15
