model_id,language,weat_category_id,layer_idx,SEAT_score,comments
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,0,0.0648788,SEAT_finetuned_en_WEAT1_layer0
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,1,0.45899117,SEAT_finetuned_en_WEAT1_layer1
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,2,0.6351006,SEAT_finetuned_en_WEAT1_layer2
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,3,0.6569478,SEAT_finetuned_en_WEAT1_layer3
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,4,0.33542854,SEAT_finetuned_en_WEAT1_layer4
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,5,0.5249747,SEAT_finetuned_en_WEAT1_layer5
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,6,0.7410222,SEAT_finetuned_en_WEAT1_layer6
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,7,0.6926723,SEAT_finetuned_en_WEAT1_layer7
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,8,0.5321388,SEAT_finetuned_en_WEAT1_layer8
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT1,9,0.46596098,SEAT_finetuned_en_WEAT1_layer9
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT2,0,-0.25399,SEAT_finetuned_en_WEAT2_layer0
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT2,1,0.7751397,SEAT_finetuned_en_WEAT2_layer1
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT2,2,0.91966164,SEAT_finetuned_en_WEAT2_layer2
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT2,3,0.9120693,SEAT_finetuned_en_WEAT2_layer3
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT2,4,0.7799221,SEAT_finetuned_en_WEAT2_layer4
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT2,5,0.6841387,SEAT_finetuned_en_WEAT2_layer5
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT2,6,0.85476834,SEAT_finetuned_en_WEAT2_layer6
DebK/cerebras-gpt-111m-finetuned-alpaca-hindi,en,WEAT2,7,1.0199217,SEAT_finetuned_en_WEAT2_layer7
