model_id,language,weat_category_id,layer_idx,SEAT_score,comments
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,0,-0.02842868,SEAT_finetuned_en_WEAT1_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,1,0.25168014,SEAT_finetuned_en_WEAT1_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,2,0.78125525,SEAT_finetuned_en_WEAT1_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,3,0.7370525,SEAT_finetuned_en_WEAT1_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,4,0.49512494,SEAT_finetuned_en_WEAT1_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,5,0.58080417,SEAT_finetuned_en_WEAT1_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT1,6,0.09690603,SEAT_finetuned_en_WEAT1_layer6
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT2,0,0.78903157,SEAT_finetuned_en_WEAT2_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT2,1,1.0176502,SEAT_finetuned_en_WEAT2_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT2,2,1.1538019,SEAT_finetuned_en_WEAT2_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT2,3,0.5727896,SEAT_finetuned_en_WEAT2_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT2,4,0.8388051,SEAT_finetuned_en_WEAT2_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT2,5,0.9883912,SEAT_finetuned_en_WEAT2_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT2,6,0.420479,SEAT_finetuned_en_WEAT2_layer6
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT6,0,1.4898732,SEAT_finetuned_en_WEAT6_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT6,1,1.6192316,SEAT_finetuned_en_WEAT6_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT6,2,1.4871008,SEAT_finetuned_en_WEAT6_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT6,3,1.2845609,SEAT_finetuned_en_WEAT6_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT6,4,1.6692616,SEAT_finetuned_en_WEAT6_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT6,5,1.7130361,SEAT_finetuned_en_WEAT6_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,en,WEAT6,6,1.7699784,SEAT_finetuned_en_WEAT6_layer6
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT1,0,0.186899,SEAT_finetuned_hi_WEAT1_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT1,1,-0.118714675,SEAT_finetuned_hi_WEAT1_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT1,2,-0.07774737,SEAT_finetuned_hi_WEAT1_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT1,3,-0.15546797,SEAT_finetuned_hi_WEAT1_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT1,4,-0.38210395,SEAT_finetuned_hi_WEAT1_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT1,5,-0.16568114,SEAT_finetuned_hi_WEAT1_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT1,6,0.36329174,SEAT_finetuned_hi_WEAT1_layer6
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT2,0,0.74045396,SEAT_finetuned_hi_WEAT2_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT2,1,0.58608556,SEAT_finetuned_hi_WEAT2_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT2,2,0.5462306,SEAT_finetuned_hi_WEAT2_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT2,3,0.43610668,SEAT_finetuned_hi_WEAT2_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT2,4,0.3708624,SEAT_finetuned_hi_WEAT2_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT2,5,0.4251508,SEAT_finetuned_hi_WEAT2_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT2,6,0.6807348,SEAT_finetuned_hi_WEAT2_layer6
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT6,0,-0.77877647,SEAT_finetuned_hi_WEAT6_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT6,1,-0.636649,SEAT_finetuned_hi_WEAT6_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT6,2,-0.56878495,SEAT_finetuned_hi_WEAT6_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT6,3,-0.3756948,SEAT_finetuned_hi_WEAT6_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT6,4,-0.44857374,SEAT_finetuned_hi_WEAT6_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT6,5,-0.60972375,SEAT_finetuned_hi_WEAT6_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,hi,WEAT6,6,-0.6329378,SEAT_finetuned_hi_WEAT6_layer6
