model_id,language,weat_category_id,layer_idx,SEAT_score,comments
EleutherAI/pythia-70m,en,WEAT1,0,-0.029440416,SEAT_base_en_WEAT1_layer0
EleutherAI/pythia-70m,en,WEAT1,1,0.24570858,SEAT_base_en_WEAT1_layer1
EleutherAI/pythia-70m,en,WEAT1,2,0.77553475,SEAT_base_en_WEAT1_layer2
EleutherAI/pythia-70m,en,WEAT1,3,0.7233022,SEAT_base_en_WEAT1_layer3
EleutherAI/pythia-70m,en,WEAT1,4,0.48872408,SEAT_base_en_WEAT1_layer4
EleutherAI/pythia-70m,en,WEAT1,5,0.5431293,SEAT_base_en_WEAT1_layer5
EleutherAI/pythia-70m,en,WEAT1,6,0.170414,SEAT_base_en_WEAT1_layer6
EleutherAI/pythia-70m,en,WEAT2,0,0.78828424,SEAT_base_en_WEAT2_layer0
EleutherAI/pythia-70m,en,WEAT2,1,1.0115176,SEAT_base_en_WEAT2_layer1
EleutherAI/pythia-70m,en,WEAT2,2,1.1510664,SEAT_base_en_WEAT2_layer2
EleutherAI/pythia-70m,en,WEAT2,3,0.534267,SEAT_base_en_WEAT2_layer3
EleutherAI/pythia-70m,en,WEAT2,4,0.81228906,SEAT_base_en_WEAT2_layer4
EleutherAI/pythia-70m,en,WEAT2,5,1.0038325,SEAT_base_en_WEAT2_layer5
EleutherAI/pythia-70m,en,WEAT2,6,0.49409768,SEAT_base_en_WEAT2_layer6
EleutherAI/pythia-70m,en,WEAT6,0,1.489721,SEAT_base_en_WEAT6_layer0
EleutherAI/pythia-70m,en,WEAT6,1,1.6116838,SEAT_base_en_WEAT6_layer1
EleutherAI/pythia-70m,en,WEAT6,2,1.5316149,SEAT_base_en_WEAT6_layer2
EleutherAI/pythia-70m,en,WEAT6,3,1.3335613,SEAT_base_en_WEAT6_layer3
EleutherAI/pythia-70m,en,WEAT6,4,1.7073473,SEAT_base_en_WEAT6_layer4
EleutherAI/pythia-70m,en,WEAT6,5,1.7220564,SEAT_base_en_WEAT6_layer5
EleutherAI/pythia-70m,en,WEAT6,6,1.7565984,SEAT_base_en_WEAT6_layer6
