model_id,language,weat_category_id,layer_idx,SEAT_score,comments
HuggingFaceTB/SmolLM2-135M,en,WEAT1,0,-0.1127363,SEAT_base_en_WEAT1_layer0
HuggingFaceTB/SmolLM2-135M,en,WEAT1,1,0.51055753,SEAT_base_en_WEAT1_layer1
HuggingFaceTB/SmolLM2-135M,en,WEAT1,2,0.48323223,SEAT_base_en_WEAT1_layer2
HuggingFaceTB/SmolLM2-135M,en,WEAT1,3,0.17956294,SEAT_base_en_WEAT1_layer3
HuggingFaceTB/SmolLM2-135M,en,WEAT1,4,0.34878895,SEAT_base_en_WEAT1_layer4
HuggingFaceTB/SmolLM2-135M,en,WEAT1,5,0.43473294,SEAT_base_en_WEAT1_layer5
HuggingFaceTB/SmolLM2-135M,en,WEAT1,6,0.54784274,SEAT_base_en_WEAT1_layer6
HuggingFaceTB/SmolLM2-135M,en,WEAT1,7,0.7541589,SEAT_base_en_WEAT1_layer7
HuggingFaceTB/SmolLM2-135M,en,WEAT1,8,0.8569454,SEAT_base_en_WEAT1_layer8
HuggingFaceTB/SmolLM2-135M,en,WEAT1,9,0.9988271,SEAT_base_en_WEAT1_layer9
HuggingFaceTB/SmolLM2-135M,en,WEAT1,10,1.1799008,SEAT_base_en_WEAT1_layer10
HuggingFaceTB/SmolLM2-135M,en,WEAT1,11,1.3238615,SEAT_base_en_WEAT1_layer11
HuggingFaceTB/SmolLM2-135M,en,WEAT1,12,0.870305,SEAT_base_en_WEAT1_layer12
HuggingFaceTB/SmolLM2-135M,en,WEAT1,13,1.1897597,SEAT_base_en_WEAT1_layer13
HuggingFaceTB/SmolLM2-135M,en,WEAT1,14,1.3298376,SEAT_base_en_WEAT1_layer14
HuggingFaceTB/SmolLM2-135M,en,WEAT1,15,1.501277,SEAT_base_en_WEAT1_layer15
HuggingFaceTB/SmolLM2-135M,en,WEAT1,16,1.4715633,SEAT_base_en_WEAT1_layer16
HuggingFaceTB/SmolLM2-135M,en,WEAT1,17,1.3873422,SEAT_base_en_WEAT1_layer17
HuggingFaceTB/SmolLM2-135M,en,WEAT1,18,1.4056255,SEAT_base_en_WEAT1_layer18
HuggingFaceTB/SmolLM2-135M,en,WEAT1,19,1.4234946,SEAT_base_en_WEAT1_layer19
HuggingFaceTB/SmolLM2-135M,en,WEAT1,20,1.3975508,SEAT_base_en_WEAT1_layer20
HuggingFaceTB/SmolLM2-135M,en,WEAT1,21,1.25616,SEAT_base_en_WEAT1_layer21
HuggingFaceTB/SmolLM2-135M,en,WEAT1,22,1.3879454,SEAT_base_en_WEAT1_layer22
HuggingFaceTB/SmolLM2-135M,en,WEAT1,23,1.5059114,SEAT_base_en_WEAT1_layer23
HuggingFaceTB/SmolLM2-135M,en,WEAT1,24,1.5022738,SEAT_base_en_WEAT1_layer24
