model_id,language,weat_category_id,layer_idx,SEAT_score,comments
apple/OpenELM-270M,en,WEAT1,0,0.6593028,SEAT_base_en_WEAT1_layer0
apple/OpenELM-270M,en,WEAT1,1,0.44683167,SEAT_base_en_WEAT1_layer1
apple/OpenELM-270M,en,WEAT1,2,0.35081923,SEAT_base_en_WEAT1_layer2
apple/OpenELM-270M,en,WEAT1,3,0.31339812,SEAT_base_en_WEAT1_layer3
apple/OpenELM-270M,en,WEAT1,4,0.3645337,SEAT_base_en_WEAT1_layer4
apple/OpenELM-270M,en,WEAT1,5,0.4349815,SEAT_base_en_WEAT1_layer5
apple/OpenELM-270M,en,WEAT1,6,0.9620088,SEAT_base_en_WEAT1_layer6
apple/OpenELM-270M,en,WEAT1,7,1.0652559,SEAT_base_en_WEAT1_layer7
apple/OpenELM-270M,en,WEAT1,8,1.3581222,SEAT_base_en_WEAT1_layer8
apple/OpenELM-270M,en,WEAT1,9,1.3526783,SEAT_base_en_WEAT1_layer9
apple/OpenELM-270M,en,WEAT1,10,1.4052492,SEAT_base_en_WEAT1_layer10
apple/OpenELM-270M,en,WEAT1,11,1.5225362,SEAT_base_en_WEAT1_layer11
apple/OpenELM-270M,en,WEAT1,12,1.6114205,SEAT_base_en_WEAT1_layer12
apple/OpenELM-270M,en,WEAT1,13,1.4929628,SEAT_base_en_WEAT1_layer13
apple/OpenELM-270M,en,WEAT1,14,1.6388606,SEAT_base_en_WEAT1_layer14
apple/OpenELM-270M,en,WEAT1,15,1.5605005,SEAT_base_en_WEAT1_layer15
apple/OpenELM-270M,en,WEAT1,16,0.61938,SEAT_base_en_WEAT1_layer16
apple/OpenELM-270M,en,WEAT2,0,0.82491094,SEAT_base_en_WEAT2_layer0
apple/OpenELM-270M,en,WEAT2,1,1.0056998,SEAT_base_en_WEAT2_layer1
apple/OpenELM-270M,en,WEAT2,2,0.877006,SEAT_base_en_WEAT2_layer2
apple/OpenELM-270M,en,WEAT2,3,0.7705613,SEAT_base_en_WEAT2_layer3
apple/OpenELM-270M,en,WEAT2,4,0.91095996,SEAT_base_en_WEAT2_layer4
apple/OpenELM-270M,en,WEAT2,5,0.84730667,SEAT_base_en_WEAT2_layer5
apple/OpenELM-270M,en,WEAT2,6,1.1563494,SEAT_base_en_WEAT2_layer6
apple/OpenELM-270M,en,WEAT2,7,1.2529037,SEAT_base_en_WEAT2_layer7
apple/OpenELM-270M,en,WEAT2,8,1.3337774,SEAT_base_en_WEAT2_layer8
apple/OpenELM-270M,en,WEAT2,9,1.3483737,SEAT_base_en_WEAT2_layer9
apple/OpenELM-270M,en,WEAT2,10,1.3659613,SEAT_base_en_WEAT2_layer10
apple/OpenELM-270M,en,WEAT2,11,1.44215,SEAT_base_en_WEAT2_layer11
apple/OpenELM-270M,en,WEAT2,12,1.4861104,SEAT_base_en_WEAT2_layer12
apple/OpenELM-270M,en,WEAT2,13,1.4112478,SEAT_base_en_WEAT2_layer13
apple/OpenELM-270M,en,WEAT2,14,1.4764662,SEAT_base_en_WEAT2_layer14
apple/OpenELM-270M,en,WEAT2,15,1.50654,SEAT_base_en_WEAT2_layer15
apple/OpenELM-270M,en,WEAT2,16,0.95013905,SEAT_base_en_WEAT2_layer16
apple/OpenELM-270M,en,WEAT6,0,1.3262419,SEAT_base_en_WEAT6_layer0
apple/OpenELM-270M,en,WEAT6,1,1.1893541,SEAT_base_en_WEAT6_layer1
apple/OpenELM-270M,en,WEAT6,2,0.9989858,SEAT_base_en_WEAT6_layer2
apple/OpenELM-270M,en,WEAT6,3,1.1759878,SEAT_base_en_WEAT6_layer3
apple/OpenELM-270M,en,WEAT6,4,1.1306992,SEAT_base_en_WEAT6_layer4
apple/OpenELM-270M,en,WEAT6,5,1.2914793,SEAT_base_en_WEAT6_layer5
apple/OpenELM-270M,en,WEAT6,6,1.3050138,SEAT_base_en_WEAT6_layer6
apple/OpenELM-270M,en,WEAT6,7,1.4670902,SEAT_base_en_WEAT6_layer7
apple/OpenELM-270M,en,WEAT6,8,1.7030118,SEAT_base_en_WEAT6_layer8
apple/OpenELM-270M,en,WEAT6,9,1.5392601,SEAT_base_en_WEAT6_layer9
apple/OpenELM-270M,en,WEAT6,10,1.6113865,SEAT_base_en_WEAT6_layer10
apple/OpenELM-270M,en,WEAT6,11,1.678851,SEAT_base_en_WEAT6_layer11
apple/OpenELM-270M,en,WEAT6,12,1.69069,SEAT_base_en_WEAT6_layer12
apple/OpenELM-270M,en,WEAT6,13,1.6482067,SEAT_base_en_WEAT6_layer13
apple/OpenELM-270M,en,WEAT6,14,1.6726856,SEAT_base_en_WEAT6_layer14
apple/OpenELM-270M,en,WEAT6,15,1.6817142,SEAT_base_en_WEAT6_layer15
apple/OpenELM-270M,en,WEAT6,16,1.6203492,SEAT_base_en_WEAT6_layer16
