model_id,language,weat_category_id,layer_idx,SEAT_score,comments
facebook/MobileLLM-125M,en,WEAT1,0,0.32768428,SEAT_base_en_WEAT1_layer0
facebook/MobileLLM-125M,en,WEAT1,1,0.26883304,SEAT_base_en_WEAT1_layer1
facebook/MobileLLM-125M,en,WEAT1,2,0.51804775,SEAT_base_en_WEAT1_layer2
facebook/MobileLLM-125M,en,WEAT1,3,0.6359956,SEAT_base_en_WEAT1_layer3
facebook/MobileLLM-125M,en,WEAT1,4,0.7340937,SEAT_base_en_WEAT1_layer4
facebook/MobileLLM-125M,en,WEAT1,5,0.67636836,SEAT_base_en_WEAT1_layer5
facebook/MobileLLM-125M,en,WEAT1,6,0.74893284,SEAT_base_en_WEAT1_layer6
facebook/MobileLLM-125M,en,WEAT1,7,0.84118867,SEAT_base_en_WEAT1_layer7
facebook/MobileLLM-125M,en,WEAT1,8,0.7412287,SEAT_base_en_WEAT1_layer8
facebook/MobileLLM-125M,en,WEAT1,9,1.085083,SEAT_base_en_WEAT1_layer9
facebook/MobileLLM-125M,en,WEAT1,10,1.12091,SEAT_base_en_WEAT1_layer10
facebook/MobileLLM-125M,en,WEAT1,11,1.0663843,SEAT_base_en_WEAT1_layer11
facebook/MobileLLM-125M,en,WEAT1,12,1.031053,SEAT_base_en_WEAT1_layer12
facebook/MobileLLM-125M,en,WEAT1,13,1.0746328,SEAT_base_en_WEAT1_layer13
facebook/MobileLLM-125M,en,WEAT1,14,0.95367503,SEAT_base_en_WEAT1_layer14
facebook/MobileLLM-125M,en,WEAT1,15,0.9680119,SEAT_base_en_WEAT1_layer15
facebook/MobileLLM-125M,en,WEAT1,16,1.0649352,SEAT_base_en_WEAT1_layer16
facebook/MobileLLM-125M,en,WEAT1,17,1.1094388,SEAT_base_en_WEAT1_layer17
facebook/MobileLLM-125M,en,WEAT1,18,1.176928,SEAT_base_en_WEAT1_layer18
facebook/MobileLLM-125M,en,WEAT1,19,1.095579,SEAT_base_en_WEAT1_layer19
facebook/MobileLLM-125M,en,WEAT1,20,1.0973213,SEAT_base_en_WEAT1_layer20
facebook/MobileLLM-125M,en,WEAT1,21,1.2123129,SEAT_base_en_WEAT1_layer21
facebook/MobileLLM-125M,en,WEAT1,22,1.2100459,SEAT_base_en_WEAT1_layer22
facebook/MobileLLM-125M,en,WEAT1,23,1.2612684,SEAT_base_en_WEAT1_layer23
facebook/MobileLLM-125M,en,WEAT1,24,1.2166841,SEAT_base_en_WEAT1_layer24
facebook/MobileLLM-125M,en,WEAT1,25,1.2296631,SEAT_base_en_WEAT1_layer25
facebook/MobileLLM-125M,en,WEAT1,26,1.2003663,SEAT_base_en_WEAT1_layer26
facebook/MobileLLM-125M,en,WEAT1,27,1.1250141,SEAT_base_en_WEAT1_layer27
facebook/MobileLLM-125M,en,WEAT1,28,1.0789939,SEAT_base_en_WEAT1_layer28
facebook/MobileLLM-125M,en,WEAT1,29,0.9827753,SEAT_base_en_WEAT1_layer29
facebook/MobileLLM-125M,en,WEAT2,0,0.96305925,SEAT_base_en_WEAT2_layer0
facebook/MobileLLM-125M,en,WEAT2,1,0.42311683,SEAT_base_en_WEAT2_layer1
facebook/MobileLLM-125M,en,WEAT2,2,0.30623165,SEAT_base_en_WEAT2_layer2
facebook/MobileLLM-125M,en,WEAT2,3,0.35653287,SEAT_base_en_WEAT2_layer3
facebook/MobileLLM-125M,en,WEAT2,4,0.57279354,SEAT_base_en_WEAT2_layer4
facebook/MobileLLM-125M,en,WEAT2,5,0.5250011,SEAT_base_en_WEAT2_layer5
facebook/MobileLLM-125M,en,WEAT2,6,0.70261824,SEAT_base_en_WEAT2_layer6
facebook/MobileLLM-125M,en,WEAT2,7,0.77686465,SEAT_base_en_WEAT2_layer7
facebook/MobileLLM-125M,en,WEAT2,8,0.73884815,SEAT_base_en_WEAT2_layer8
facebook/MobileLLM-125M,en,WEAT2,9,1.0400151,SEAT_base_en_WEAT2_layer9
