model_id,language,weat_category_id,layer_idx,SEAT_score,comments
meta-llama/Llama-3.2-1B,en,WEAT1,0,0.10690881,SEAT_base_en_WEAT1_layer0
meta-llama/Llama-3.2-1B,en,WEAT1,1,0.3873199,SEAT_base_en_WEAT1_layer1
meta-llama/Llama-3.2-1B,en,WEAT1,2,0.799107,SEAT_base_en_WEAT1_layer2
meta-llama/Llama-3.2-1B,en,WEAT1,3,0.722001,SEAT_base_en_WEAT1_layer3
meta-llama/Llama-3.2-1B,en,WEAT1,4,1.2172037,SEAT_base_en_WEAT1_layer4
meta-llama/Llama-3.2-1B,en,WEAT1,5,1.3438119,SEAT_base_en_WEAT1_layer5
meta-llama/Llama-3.2-1B,en,WEAT1,6,1.4192365,SEAT_base_en_WEAT1_layer6
meta-llama/Llama-3.2-1B,en,WEAT1,7,1.4788451,SEAT_base_en_WEAT1_layer7
meta-llama/Llama-3.2-1B,en,WEAT1,8,1.281482,SEAT_base_en_WEAT1_layer8
meta-llama/Llama-3.2-1B,en,WEAT1,9,1.4265893,SEAT_base_en_WEAT1_layer9
meta-llama/Llama-3.2-1B,en,WEAT1,10,1.5135593,SEAT_base_en_WEAT1_layer10
meta-llama/Llama-3.2-1B,en,WEAT1,11,1.5471985,SEAT_base_en_WEAT1_layer11
meta-llama/Llama-3.2-1B,en,WEAT1,12,1.5387368,SEAT_base_en_WEAT1_layer12
meta-llama/Llama-3.2-1B,en,WEAT1,13,1.6462055,SEAT_base_en_WEAT1_layer13
meta-llama/Llama-3.2-1B,en,WEAT1,14,1.7070892,SEAT_base_en_WEAT1_layer14
meta-llama/Llama-3.2-1B,en,WEAT1,15,1.7192924,SEAT_base_en_WEAT1_layer15
meta-llama/Llama-3.2-1B,en,WEAT2,0,0.3601469,SEAT_base_en_WEAT2_layer0
meta-llama/Llama-3.2-1B,en,WEAT2,1,0.6454823,SEAT_base_en_WEAT2_layer1
meta-llama/Llama-3.2-1B,en,WEAT2,2,0.7531132,SEAT_base_en_WEAT2_layer2
meta-llama/Llama-3.2-1B,en,WEAT2,3,0.35044742,SEAT_base_en_WEAT2_layer3
meta-llama/Llama-3.2-1B,en,WEAT2,4,0.93768513,SEAT_base_en_WEAT2_layer4
meta-llama/Llama-3.2-1B,en,WEAT2,5,1.340653,SEAT_base_en_WEAT2_layer5
meta-llama/Llama-3.2-1B,en,WEAT2,6,1.3996408,SEAT_base_en_WEAT2_layer6
meta-llama/Llama-3.2-1B,en,WEAT2,7,1.4432329,SEAT_base_en_WEAT2_layer7
meta-llama/Llama-3.2-1B,en,WEAT2,8,1.299884,SEAT_base_en_WEAT2_layer8
meta-llama/Llama-3.2-1B,en,WEAT2,9,1.2926424,SEAT_base_en_WEAT2_layer9
meta-llama/Llama-3.2-1B,en,WEAT2,10,1.4367198,SEAT_base_en_WEAT2_layer10
meta-llama/Llama-3.2-1B,en,WEAT2,11,1.3820921,SEAT_base_en_WEAT2_layer11
meta-llama/Llama-3.2-1B,en,WEAT2,12,1.484039,SEAT_base_en_WEAT2_layer12
meta-llama/Llama-3.2-1B,en,WEAT2,13,1.5144848,SEAT_base_en_WEAT2_layer13
meta-llama/Llama-3.2-1B,en,WEAT2,14,1.5840364,SEAT_base_en_WEAT2_layer14
meta-llama/Llama-3.2-1B,en,WEAT2,15,1.5942281,SEAT_base_en_WEAT2_layer15
meta-llama/Llama-3.2-1B,en,WEAT6,0,0.87346816,SEAT_base_en_WEAT6_layer0
meta-llama/Llama-3.2-1B,en,WEAT6,1,1.4226894,SEAT_base_en_WEAT6_layer1
meta-llama/Llama-3.2-1B,en,WEAT6,2,1.4613677,SEAT_base_en_WEAT6_layer2
meta-llama/Llama-3.2-1B,en,WEAT6,3,1.430785,SEAT_base_en_WEAT6_layer3
meta-llama/Llama-3.2-1B,en,WEAT6,4,1.4839483,SEAT_base_en_WEAT6_layer4
meta-llama/Llama-3.2-1B,en,WEAT6,5,1.4362044,SEAT_base_en_WEAT6_layer5
meta-llama/Llama-3.2-1B,en,WEAT6,6,1.8022702,SEAT_base_en_WEAT6_layer6
meta-llama/Llama-3.2-1B,en,WEAT6,7,1.7728608,SEAT_base_en_WEAT6_layer7
meta-llama/Llama-3.2-1B,en,WEAT6,8,1.74422,SEAT_base_en_WEAT6_layer8
meta-llama/Llama-3.2-1B,en,WEAT6,9,1.7937771,SEAT_base_en_WEAT6_layer9
meta-llama/Llama-3.2-1B,en,WEAT6,10,1.8286308,SEAT_base_en_WEAT6_layer10
meta-llama/Llama-3.2-1B,en,WEAT6,11,1.769034,SEAT_base_en_WEAT6_layer11
meta-llama/Llama-3.2-1B,en,WEAT6,12,1.822196,SEAT_base_en_WEAT6_layer12
meta-llama/Llama-3.2-1B,en,WEAT6,13,1.7980229,SEAT_base_en_WEAT6_layer13
meta-llama/Llama-3.2-1B,en,WEAT6,14,1.841599,SEAT_base_en_WEAT6_layer14
meta-llama/Llama-3.2-1B,en,WEAT6,15,1.8482164,SEAT_base_en_WEAT6_layer15
