model_id,model_type,language,weat_category,layer_idx,phase,linear_separability,steering_vector_applied,coefficient,baseline_bias,steered_bias,bias_reduction_percent,comments
apple/OpenELM-270M,base,en,WEAT1,0,separability_analysis,0.58,False,0.0,,,,LinearSep_base_en_WEAT1_layer0
apple/OpenELM-270M,base,en,WEAT1,1,separability_analysis,0.84,False,0.0,,,,LinearSep_base_en_WEAT1_layer1
apple/OpenELM-270M,base,en,WEAT1,2,separability_analysis,0.78,False,0.0,,,,LinearSep_base_en_WEAT1_layer2
apple/OpenELM-270M,base,en,WEAT1,3,separability_analysis,0.8,False,0.0,,,,LinearSep_base_en_WEAT1_layer3
apple/OpenELM-270M,base,en,WEAT1,4,separability_analysis,0.77,False,0.0,,,,LinearSep_base_en_WEAT1_layer4
apple/OpenELM-270M,base,en,WEAT1,5,separability_analysis,0.78,False,0.0,,,,LinearSep_base_en_WEAT1_layer5
apple/OpenELM-270M,base,en,WEAT1,6,separability_analysis,0.92,False,0.0,,,,LinearSep_base_en_WEAT1_layer6
apple/OpenELM-270M,base,en,WEAT1,7,separability_analysis,0.97,False,0.0,,,,LinearSep_base_en_WEAT1_layer7
apple/OpenELM-270M,base,en,WEAT1,8,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT1_layer8
apple/OpenELM-270M,base,en,WEAT1,9,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT1_layer9
apple/OpenELM-270M,base,en,WEAT1,10,separability_analysis,0.98,False,0.0,,,,LinearSep_base_en_WEAT1_layer10
apple/OpenELM-270M,base,en,WEAT1,11,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT1_layer11
apple/OpenELM-270M,base,en,WEAT1,12,separability_analysis,0.96,False,0.0,,,,LinearSep_base_en_WEAT1_layer12
apple/OpenELM-270M,base,en,WEAT1,13,separability_analysis,0.88,False,0.0,,,,LinearSep_base_en_WEAT1_layer13
apple/OpenELM-270M,base,en,WEAT1,14,separability_analysis,0.74,False,0.0,,,,LinearSep_base_en_WEAT1_layer14
apple/OpenELM-270M,base,en,WEAT1,15,separability_analysis,0.69,False,0.0,,,,LinearSep_base_en_WEAT1_layer15
apple/OpenELM-270M,base,en,WEAT1,9,bias_mitigation,1.0,True,-2.0,0.6974527835845947,0.9061014652252197,-29.915815591812134,SteeringVec_base_en_WEAT1_layer9_coef-2.0
apple/OpenELM-270M,base,en,WEAT1,9,bias_mitigation,1.0,True,-1.0,0.6974527835845947,0.9063100218772888,-29.94571626186371,SteeringVec_base_en_WEAT1_layer9_coef-1.0
apple/OpenELM-270M,base,en,WEAT1,9,bias_mitigation,1.0,False,0.0,0.6974527835845947,0.9064877033233643,-29.97119426727295,SteeringVec_base_en_WEAT1_layer9_coef0.0
apple/OpenELM-270M,base,en,WEAT1,9,bias_mitigation,1.0,True,1.0,0.6974527835845947,0.9066230058670044,-29.9905925989151,SteeringVec_base_en_WEAT1_layer9_coef1.0
apple/OpenELM-270M,base,en,WEAT1,9,bias_mitigation,1.0,True,1.6,0.6974527835845947,0.9067135453224182,-30.00357449054718,SteeringVec_base_en_WEAT1_layer9_coef1.6
apple/OpenELM-270M,base,en,WEAT1,9,bias_mitigation,1.0,True,2.0,0.6974527835845947,0.9067671298980713,-30.011257529258728,SteeringVec_base_en_WEAT1_layer9_coef2.0
apple/OpenELM-270M,base,en,WEAT1,8,bias_mitigation,1.0,True,-2.0,0.5988830327987671,0.9062862992286682,-51.32943391799927,SteeringVec_base_en_WEAT1_layer8_coef-2.0
apple/OpenELM-270M,base,en,WEAT1,8,bias_mitigation,1.0,True,-1.0,0.5988830327987671,0.9064132571220398,-51.350635290145874,SteeringVec_base_en_WEAT1_layer8_coef-1.0
apple/OpenELM-270M,base,en,WEAT1,8,bias_mitigation,1.0,False,0.0,0.5988830327987671,0.9064877033233643,-51.36306285858154,SteeringVec_base_en_WEAT1_layer8_coef0.0
apple/OpenELM-270M,base,en,WEAT1,8,bias_mitigation,1.0,True,1.0,0.5988830327987671,0.9065669775009155,-51.37630105018616,SteeringVec_base_en_WEAT1_layer8_coef1.0
apple/OpenELM-270M,base,en,WEAT1,8,bias_mitigation,1.0,True,1.6,0.5988830327987671,0.9065715670585632,-51.37706398963928,SteeringVec_base_en_WEAT1_layer8_coef1.6
apple/OpenELM-270M,base,en,WEAT1,8,bias_mitigation,1.0,True,2.0,0.5988830327987671,0.9065442681312561,-51.37251019477844,SteeringVec_base_en_WEAT1_layer8_coef2.0
apple/OpenELM-270M,base,en,WEAT2,0,separability_analysis,0.58,False,0.0,,,,LinearSep_base_en_WEAT2_layer0
apple/OpenELM-270M,base,en,WEAT2,1,separability_analysis,0.82,False,0.0,,,,LinearSep_base_en_WEAT2_layer1
apple/OpenELM-270M,base,en,WEAT2,2,separability_analysis,0.8,False,0.0,,,,LinearSep_base_en_WEAT2_layer2
apple/OpenELM-270M,base,en,WEAT2,3,separability_analysis,0.8,False,0.0,,,,LinearSep_base_en_WEAT2_layer3
apple/OpenELM-270M,base,en,WEAT2,4,separability_analysis,0.76,False,0.0,,,,LinearSep_base_en_WEAT2_layer4
apple/OpenELM-270M,base,en,WEAT2,5,separability_analysis,0.76,False,0.0,,,,LinearSep_base_en_WEAT2_layer5
apple/OpenELM-270M,base,en,WEAT2,6,separability_analysis,0.76,False,0.0,,,,LinearSep_base_en_WEAT2_layer6
apple/OpenELM-270M,base,en,WEAT2,7,separability_analysis,0.74,False,0.0,,,,LinearSep_base_en_WEAT2_layer7
apple/OpenELM-270M,base,en,WEAT2,8,separability_analysis,0.96,False,0.0,,,,LinearSep_base_en_WEAT2_layer8
apple/OpenELM-270M,base,en,WEAT2,9,separability_analysis,0.98,False,0.0,,,,LinearSep_base_en_WEAT2_layer9
apple/OpenELM-270M,base,en,WEAT2,10,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT2_layer10
apple/OpenELM-270M,base,en,WEAT2,11,separability_analysis,0.94,False,0.0,,,,LinearSep_base_en_WEAT2_layer11
apple/OpenELM-270M,base,en,WEAT2,12,separability_analysis,0.9,False,0.0,,,,LinearSep_base_en_WEAT2_layer12
apple/OpenELM-270M,base,en,WEAT2,13,separability_analysis,0.81,False,0.0,,,,LinearSep_base_en_WEAT2_layer13
apple/OpenELM-270M,base,en,WEAT2,14,separability_analysis,0.76,False,0.0,,,,LinearSep_base_en_WEAT2_layer14
apple/OpenELM-270M,base,en,WEAT2,15,separability_analysis,0.7,False,0.0,,,,LinearSep_base_en_WEAT2_layer15
apple/OpenELM-270M,base,en,WEAT2,10,bias_mitigation,1.0,True,-2.0,0.7715842723846436,0.904768168926239,-17.261095345020294,SteeringVec_base_en_WEAT2_layer10_coef-2.0
apple/OpenELM-270M,base,en,WEAT2,10,bias_mitigation,1.0,True,-1.0,0.7715842723846436,0.9046826958656311,-17.250017821788788,SteeringVec_base_en_WEAT2_layer10_coef-1.0
apple/OpenELM-270M,base,en,WEAT2,10,bias_mitigation,1.0,False,0.0,0.7715842723846436,0.9046148657798767,-17.241226136684418,SteeringVec_base_en_WEAT2_layer10_coef0.0
apple/OpenELM-270M,base,en,WEAT2,10,bias_mitigation,1.0,True,1.0,0.7715842723846436,0.9045669436454773,-17.235015332698822,SteeringVec_base_en_WEAT2_layer10_coef1.0
apple/OpenELM-270M,base,en,WEAT2,10,bias_mitigation,1.0,True,1.6,0.7715842723846436,0.9045194387435913,-17.228859663009644,SteeringVec_base_en_WEAT2_layer10_coef1.6
apple/OpenELM-270M,base,en,WEAT2,10,bias_mitigation,1.0,True,2.0,0.7715842723846436,0.904517412185669,-17.228595912456512,SteeringVec_base_en_WEAT2_layer10_coef2.0
apple/OpenELM-270M,base,en,WEAT2,9,bias_mitigation,0.98,True,-2.0,0.703703761100769,0.9043398499488831,-28.511440753936768,SteeringVec_base_en_WEAT2_layer9_coef-2.0
apple/OpenELM-270M,base,en,WEAT2,9,bias_mitigation,0.98,True,-1.0,0.703703761100769,0.9044726490974426,-28.530314564704895,SteeringVec_base_en_WEAT2_layer9_coef-1.0
apple/OpenELM-270M,base,en,WEAT2,9,bias_mitigation,0.98,False,0.0,0.703703761100769,0.9046148657798767,-28.55052351951599,SteeringVec_base_en_WEAT2_layer9_coef0.0
apple/OpenELM-270M,base,en,WEAT2,9,bias_mitigation,0.98,True,1.0,0.703703761100769,0.9047712683677673,-28.572750091552734,SteeringVec_base_en_WEAT2_layer9_coef1.0
apple/OpenELM-270M,base,en,WEAT2,9,bias_mitigation,0.98,True,1.6,0.703703761100769,0.9048107862472534,-28.578364849090576,SteeringVec_base_en_WEAT2_layer9_coef1.6
apple/OpenELM-270M,base,en,WEAT2,9,bias_mitigation,0.98,True,2.0,0.703703761100769,0.9048745036125183,-28.587418794631958,SteeringVec_base_en_WEAT2_layer9_coef2.0
apple/OpenELM-270M,base,en,WEAT6,0,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer0
apple/OpenELM-270M,base,en,WEAT6,1,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer1
apple/OpenELM-270M,base,en,WEAT6,2,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer2
apple/OpenELM-270M,base,en,WEAT6,3,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer3
apple/OpenELM-270M,base,en,WEAT6,4,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer4
apple/OpenELM-270M,base,en,WEAT6,5,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer5
apple/OpenELM-270M,base,en,WEAT6,6,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer6
apple/OpenELM-270M,base,en,WEAT6,7,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer7
apple/OpenELM-270M,base,en,WEAT6,8,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer8
apple/OpenELM-270M,base,en,WEAT6,9,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer9
apple/OpenELM-270M,base,en,WEAT6,10,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer10
apple/OpenELM-270M,base,en,WEAT6,11,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer11
apple/OpenELM-270M,base,en,WEAT6,12,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer12
apple/OpenELM-270M,base,en,WEAT6,13,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer13
apple/OpenELM-270M,base,en,WEAT6,14,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer14
apple/OpenELM-270M,base,en,WEAT6,15,separability_analysis,1.0,False,0.0,,,,LinearSep_base_en_WEAT6_layer15
apple/OpenELM-270M,base,en,WEAT6,15,bias_mitigation,1.0,True,-2.0,0.8423357605934143,0.7865273356437683,6.625436991453171,SteeringVec_base_en_WEAT6_layer15_coef-2.0
apple/OpenELM-270M,base,en,WEAT6,15,bias_mitigation,1.0,True,-1.0,0.8423357605934143,0.7865701913833618,6.6203489899635315,SteeringVec_base_en_WEAT6_layer15_coef-1.0
apple/OpenELM-270M,base,en,WEAT6,15,bias_mitigation,1.0,False,0.0,0.8423357605934143,0.7865873575210571,6.618311256170273,SteeringVec_base_en_WEAT6_layer15_coef0.0
apple/OpenELM-270M,base,en,WEAT6,15,bias_mitigation,1.0,True,1.0,0.8423357605934143,0.7865815162658691,6.619004905223846,SteeringVec_base_en_WEAT6_layer15_coef1.0
apple/OpenELM-270M,base,en,WEAT6,15,bias_mitigation,1.0,True,1.6,0.8423357605934143,0.7865881323814392,6.618219614028931,SteeringVec_base_en_WEAT6_layer15_coef1.6
apple/OpenELM-270M,base,en,WEAT6,15,bias_mitigation,1.0,True,2.0,0.8423357605934143,0.7866029739379883,6.616457551717758,SteeringVec_base_en_WEAT6_layer15_coef2.0
apple/OpenELM-270M,base,en,WEAT6,14,bias_mitigation,1.0,True,-2.0,0.7204792499542236,0.786578893661499,-9.174399077892303,SteeringVec_base_en_WEAT6_layer14_coef-2.0
apple/OpenELM-270M,base,en,WEAT6,14,bias_mitigation,1.0,True,-1.0,0.7204792499542236,0.7865533232688904,-9.170850366353989,SteeringVec_base_en_WEAT6_layer14_coef-1.0
apple/OpenELM-270M,base,en,WEAT6,14,bias_mitigation,1.0,False,0.0,0.7204792499542236,0.7865873575210571,-9.175574034452438,SteeringVec_base_en_WEAT6_layer14_coef0.0
apple/OpenELM-270M,base,en,WEAT6,14,bias_mitigation,1.0,True,1.0,0.7204792499542236,0.786529004573822,-9.167475253343582,SteeringVec_base_en_WEAT6_layer14_coef1.0
apple/OpenELM-270M,base,en,WEAT6,14,bias_mitigation,1.0,True,1.6,0.7204792499542236,0.7865639925003052,-9.172330796718597,SteeringVec_base_en_WEAT6_layer14_coef1.6
apple/OpenELM-270M,base,en,WEAT6,14,bias_mitigation,1.0,True,2.0,0.7204792499542236,0.7865318059921265,-9.167863428592682,SteeringVec_base_en_WEAT6_layer14_coef2.0
