model_id,model_type,language,weat_category,layer_idx,phase,linear_separability,steering_vector_applied,coefficient,baseline_bias,steered_bias,bias_reduction_percent,comments
meta-llama/Llama-3.2-1B,base,en,WEAT1,0,separability_analysis,0.9,False,0.0,,,,LinearSep_base_en_WEAT1_layer0
meta-llama/Llama-3.2-1B,base,en,WEAT1,1,separability_analysis,0.88,False,0.0,,,,LinearSep_base_en_WEAT1_layer1
meta-llama/Llama-3.2-1B,base,en,WEAT1,2,separability_analysis,0.9,False,0.0,,,,LinearSep_base_en_WEAT1_layer2
meta-llama/Llama-3.2-1B,base,en,WEAT1,3,separability_analysis,0.96,False,0.0,,,,LinearSep_base_en_WEAT1_layer3
meta-llama/Llama-3.2-1B,base,en,WEAT1,4,separability_analysis,0.96,False,0.0,,,,LinearSep_base_en_WEAT1_layer4
meta-llama/Llama-3.2-1B,base,en,WEAT1,5,separability_analysis,0.96,False,0.0,,,,LinearSep_base_en_WEAT1_layer5
meta-llama/Llama-3.2-1B,base,en,WEAT1,6,separability_analysis,0.98,False,0.0,,,,LinearSep_base_en_WEAT1_layer6
meta-llama/Llama-3.2-1B,base,en,WEAT1,7,separability_analysis,0.98,False,0.0,,,,LinearSep_base_en_WEAT1_layer7
meta-llama/Llama-3.2-1B,base,en,WEAT1,8,separability_analysis,0.98,False,0.0,,,,LinearSep_base_en_WEAT1_layer8
meta-llama/Llama-3.2-1B,base,en,WEAT1,9,separability_analysis,0.98,False,0.0,,,,LinearSep_base_en_WEAT1_layer9
meta-llama/Llama-3.2-1B,base,en,WEAT1,10,separability_analysis,0.98,False,0.0,,,,LinearSep_base_en_WEAT1_layer10
meta-llama/Llama-3.2-1B,base,en,WEAT1,11,separability_analysis,0.96,False,0.0,,,,LinearSep_base_en_WEAT1_layer11
meta-llama/Llama-3.2-1B,base,en,WEAT1,12,separability_analysis,0.94,False,0.0,,,,LinearSep_base_en_WEAT1_layer12
meta-llama/Llama-3.2-1B,base,en,WEAT1,13,separability_analysis,0.94,False,0.0,,,,LinearSep_base_en_WEAT1_layer13
meta-llama/Llama-3.2-1B,base,en,WEAT1,14,separability_analysis,0.94,False,0.0,,,,LinearSep_base_en_WEAT1_layer14
meta-llama/Llama-3.2-1B,base,en,WEAT1,15,separability_analysis,0.84,False,0.0,,,,LinearSep_base_en_WEAT1_layer15
meta-llama/Llama-3.2-1B,base,en,WEAT1,9,bias_mitigation,0.98,True,-2.0,0.77608323097229,0.9416523575782776,-21.33393883705139,SteeringVec_base_en_WEAT1_layer9_coef-2.0
meta-llama/Llama-3.2-1B,base,en,WEAT1,9,bias_mitigation,0.98,True,-1.0,0.77608323097229,0.9415887594223022,-21.325744688510895,SteeringVec_base_en_WEAT1_layer9_coef-1.0
meta-llama/Llama-3.2-1B,base,en,WEAT1,9,bias_mitigation,0.98,False,0.0,0.77608323097229,0.9423305988311768,-21.42133265733719,SteeringVec_base_en_WEAT1_layer9_coef0.0
meta-llama/Llama-3.2-1B,base,en,WEAT1,9,bias_mitigation,0.98,True,1.0,0.77608323097229,0.9438652992248535,-21.619081497192383,SteeringVec_base_en_WEAT1_layer9_coef1.0
meta-llama/Llama-3.2-1B,base,en,WEAT1,9,bias_mitigation,0.98,True,1.6,0.77608323097229,0.945102334022522,-21.778476238250732,SteeringVec_base_en_WEAT1_layer9_coef1.6
meta-llama/Llama-3.2-1B,base,en,WEAT1,9,bias_mitigation,0.98,True,2.0,0.77608323097229,0.946056067943573,-21.901367604732513,SteeringVec_base_en_WEAT1_layer9_coef2.0
